G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Arkansas State,W,105,76
2,Fri Nov 10 2023,REG,Tennessee (9),L,70,80
3,Tue Nov 14 2023,REG,Providence,L,59,72
4,Fri Nov 17 2023,REG,Robert Morris,W,78,68
5,Mon Nov 20 2023,REG,Virginia (24),W,65,41
6,Wed Nov 22 2023,REG,Southern Methodist,W,69,61
7,Mon Nov 27 2023,REG,Western Illinois,W,71,49
8,Sat Dec 2 2023,REG,Marquette (3),W,75,64
9,Tue Dec 5 2023,REG,Michigan State,W,70,57
10,Sat Dec 9 2023,REG,Arizona (1),L,73,98
11,Thu Dec 14 2023,REG,Jacksonville State,W,75,60
12,Fri Dec 22 2023,REG,Chicago State,W,80,53
13,Tue Jan 2 2024,REG,Iowa,W,83,72
14,Sat Jan 6 2024,REG,Nebraska,W,88,72
15,Wed Jan 10 2024,REG,Ohio State,W,71,60
16,Sat Jan 13 2024,REG,Northwestern,W,71,63
17,Tue Jan 16 2024,REG,Penn State,L,83,87
18,Fri Jan 19 2024,REG,Indiana,W,91,79
19,Tue Jan 23 2024,REG,Minnesota,W,61,59
20,Fri Jan 26 2024,REG,Michigan State,W,81,66
21,Thu Feb 1 2024,REG,Nebraska,L,72,80
22,Sun Feb 4 2024,REG,Purdue (2),L,69,75
23,Wed Feb 7 2024,REG,Michigan,L,68,72
24,Sat Feb 10 2024,REG,Rutgers,L,56,78
25,Tue Feb 13 2024,REG,Ohio State,W,62,54
