G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Vassar,W,102,53
2,Fri Nov 10 2023,REG,Gonzaga (11),L,71,86
3,Sun Nov 12 2023,REG,Loyola Marymount,W,83,80
4,Fri Nov 17 2023,REG,Colgate,W,68,50
5,Sat Nov 18 2023,REG,Weber State,L,65,75
6,Sun Nov 19 2023,REG,Gardner-Webb,W,71,70
7,Sun Nov 26 2023,REG,Rhode Island,L,72,76
8,Wed Nov 29 2023,REG,Stony Brook,W,79,71
9,Sat Dec 2 2023,REG,Vermont,L,65,66
10,Wed Dec 6 2023,REG,Fairfield,L,71,75
11,Fri Dec 8 2023,REG,Colby-Sawyer,W,95,36
12,Mon Dec 11 2023,REG,Quinnipiac,W,73,66
13,Fri Dec 22 2023,REG,Kansas (2),L,60,75
14,Sat Dec 30 2023,REG,Santa Clara,W,66,58
15,Wed Jan 3 2024,REG,Howard,W,86,78
16,Tue Jan 9 2024,REG,Brown,W,80,70
17,Mon Jan 15 2024,REG,Columbia,W,89,70
18,Sat Jan 20 2024,REG,Dartmouth,W,76,51
19,Sat Jan 27 2024,REG,Harvard,W,78,65
20,Fri Feb 2 2024,REG,Princeton,W,70,64
21,Sat Feb 3 2024,REG,Pennsylvania,W,74,58
22,Sat Feb 10 2024,REG,Cornell,W,80,78
23,Fri Feb 16 2024,REG,Pennsylvania,W,76,62
24,Sat Feb 17 2024,REG,Princeton,L,62,73
25,Fri Feb 23 2024,REG,Cornell,L,62,65
26,Sat Feb 24 2024,REG,Columbia,W,84,76
27,Fri Mar 1 2024,REG,Dartmouth,W,80,56
28,Sat Mar 2 2024,REG,Harvard,W,80,60
29,Sat Mar 9 2024,REG,Brown,L,81,84
30,Sat Mar 16 2024,CTOURN,Cornell,W,69,57
31,Sun Mar 17 2024,CTOURN,Brown,W,62,61
32,Fri Mar 22 2024,NCAA,Auburn (7),W,78,76
33,Sun Mar 24 2024,NCAA,San Diego State (24),L,57,85
