G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Utah Valley,W,76,56
2,11/13/2021,UC-Irvine,L,50,58
3,11/18/2021,St. Bonaventure,L,61,67
4,11/19/2021,Temple,W,82,62
5,11/21/2021,Ole Miss,W,60,50
6,11/26/2021,Cal State Bakersfield,L,39,46
7,11/30/2021,Saint Louis,L,82,86
8,12/3/2021,Tulsa,W,63,58
9,12/7/2021,Cal State Northridge,W,74,48
10,12/10/2021,Prairie View,W,97,60
11,12/14/2021,Santa Clara,W,72,60
12,12/19/2021,Montana Tech,W,88,57
13,12/22/2021,Washington State,W,58,52
14,12/28/2021,Fresno State,W,65,55
15,1/12/2022,Nevada,W,85,70
16,1/15/2022,New Mexico,W,71,63
17,1/18/2022,Air Force,W,62,56
18,1/20/2022,Utah State,W,62,59
19,1/22/2022,San Diego State,W,42,37
20,1/25/2022,Wyoming,W,65,62
21,1/28/2022,Fresno State,W,68,63
22,2/3/2022,Wyoming,L,65,72
23,2/5/2022,San Jose State,W,76,60
24,2/11/2022,UNLV,W,69,63
25,2/13/2022,Colorado State,L,74,77
26,2/16/2022,Air Force,W,85,59
27,2/19/2022,Utah State,W,68,57
28,2/22/2022,San Diego State,W,58,57
29,2/26/2022,UNLV,W,86,76
30,3/1/2022,Nevada,W,73,67
31,3/5/2022,Colorado State,L,68,71
32,3/10/2022,Nevada,W,71,69
33,3/11/2022,Wyoming,W,68,61
34,3/12/2022,San Diego State,W,53,52
35,3/17/2022,Memphis,L,53,64
