G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Presbyterian,W,64,53
2,11/12/2021,Wofford,W,76,68
3,11/15/2021,Bryant,W,93,70
4,11/18/2021,Temple,W,75,48
5,11/19/2021,St. Bonaventure,L,65,68
6,11/21/2021,West Virginia,L,59,66
7,11/26/2021,Charleston Southern,W,91,59
8,11/30/2021,Rutgers,L,64,74
9,12/4/2021,Miami (FL),L,75,80
10,12/11/2021,Drake,W,90,80
11,12/14/2021,Miami (OH),W,89,76
12,12/18/2021,South Carolina,W,70,56
13,12/22/2021,Virginia,W,67,50
14,1/4/2022,Virginia,L,65,75
15,1/8/2022,NC State,W,70,65
16,1/12/2022,Notre Dame,L,56,72
17,1/15/2022,Boston College,L,68,70
18,1/18/2022,Syracuse,L,78,91
19,1/22/2022,Pitt,W,75,48
20,1/25/2022,Duke,L,69,71
21,2/2/2022,Florida State,W,75,69
22,2/5/2022,Georgia Tech,L,64,69
23,2/8/2022,UNC,L,77,79
24,2/10/2022,Duke,L,64,82
25,2/12/2022,Notre Dame,L,61,76
26,2/15/2022,Florida State,L,80,81
27,2/19/2022,Louisville,L,61,70
28,2/23/2022,Wake Forest,W,80,69
29,2/26/2022,Boston College,W,70,60
30,3/2/2022,Georgia Tech,W,68,65
31,3/5/2022,Virginia Tech,W,63,59
32,3/8/2022,NC State,W,70,64
33,3/9/2022,Virginia Tech,L,75,76
