G,Date,Opponent,W/L,Tm,Opp
1,11/11/2021,South Carolina State,W,106,74
2,11/12/2021,Lipscomb,W,86,77
3,11/13/2021,Loyola (MD),W,79,72
4,11/16/2021,UNC,L,83,94
5,11/22/2021,Oklahoma State,L,66,96
6,11/27/2021,Chattanooga,W,68,66
7,11/30/2021,Tulane,W,81,77
8,12/3/2021,Furman,L,88,91
9,12/7/2021,Tulane,W,86,72
10,12/12/2021,Presbyterian,W,78,76
11,12/16/2021,Stetson,L,59,67
12,12/22/2021,Old Dominion,W,82,80
13,12/31/2021,Delaware,L,66,67
14,1/9/2022,Elon,W,65,61
15,1/17/2022,UNC Wilmington,L,78,86
16,1/20/2022,Towson,L,67,74
17,1/22/2022,James Madison,L,94,95
18,1/25/2022,William & Mary,W,74,73
19,1/27/2022,Hofstra,L,73,76
20,1/29/2022,Northeastern,W,81,63
21,2/3/2022,William & Mary,W,84,61
22,2/5/2022,Elon,W,66,64
23,2/12/2022,UNC Wilmington,L,79,85
24,2/14/2022,Drexel,W,79,75
25,2/17/2022,James Madison,L,63,71
26,2/19/2022,Towson,L,77,80
27,2/22/2022,Northeastern,W,83,72
28,2/24/2022,Delaware,W,99,96
29,2/26/2022,Drexel,L,79,80
30,2/28/2022,Hofstra,L,84,89
31,3/6/2022,Hofstra,W,92,76
32,3/7/2022,UNC Wilmington,L,57,60
