G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Oral Roberts,W,109,80
2,11/12/2021,Arkansas-Pine Bluff,W,91,71
3,11/14/2021,Peru State,W,88,62
4,11/19/2021,Bradley,W,66,60
5,11/21/2021,Creighton,W,95,81
6,11/22/2021,Northeastern,W,71,61
7,11/27/2021,Northern Colorado,W,88,79
8,12/1/2021,Little Rock,W,86,55
9,12/4/2021,Saint Mary's,W,74,58
10,12/11/2021,Mississippi State,W,66,63
11,1/4/2022,Air Force,W,67,59
12,1/8/2022,San Diego State,L,49,79
13,1/12/2022,Utah State,W,77,72
14,1/15/2022,San Jose State,W,78,42
15,1/19/2022,New Mexico,W,80,74
16,1/22/2022,Air Force,W,73,53
17,1/25/2022,Nevada,W,77,66
18,1/28/2022,UNLV,L,74,88
19,1/31/2022,Wyoming,L,78,84
20,2/4/2022,San Diego State,W,58,57
21,2/8/2022,Nevada,W,82,72
22,2/11/2022,Fresno State,W,65,50
23,2/13/2022,Boise State,W,77,74
24,2/17/2022,New Mexico,W,83,68
25,2/19/2022,UNLV,L,51,72
26,2/23/2022,Wyoming,W,61,55
27,2/26/2022,Utah State,W,66,55
28,3/5/2022,Boise State,W,71,68
29,3/10/2022,Utah State,W,53,51
30,3/11/2022,San Diego State,L,58,63
31,3/17/2022,Michigan,L,63,75
