G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,UIC,W,64,54
2,2021-11-13,UMass-Lowell,L,58,59
3,2021-11-17,Lipscomb,L,59,78
4,2021-11-20,Austin Peay,L,81,87
5,2021-11-25,Miami (FL),W,76,60
6,2021-11-26,Kansas,W,74,73
7,2021-11-28,Belmont,W,63,61
8,2021-12-01,Alabama State,W,93,54
9,2021-12-04,Northern Illinois,W,79,41
10,2021-12-08,SMU,L,69,77
11,2021-12-12,Virginia Tech,W,62,57
12,2021-12-18,Ole Miss,L,68,76
13,2021-12-21,Southern,W,69,60
14,2022-01-05,VCU,L,52,53
15,2022-01-08,George Washington,W,83,58
16,2022-01-11,Saint Louis,W,68,63
17,2022-01-15,Duquesne,W,72,52
18,2022-01-18,St. Bonaventure,W,68,50
19,2022-01-22,George Mason,L,49,50
20,2022-01-25,Fordham,W,68,61
21,2022-01-28,Rhode Island,W,53,51
22,2022-02-02,VCU,W,82,52
23,2022-02-05,Saint Louis,L,61,72
24,2022-02-09,Duquesne,W,75,54
25,2022-02-12,George Washington,W,80,54
26,2022-02-14,Rhode Island,W,63,57
27,2022-02-19,St. Joseph's,W,74,62
28,2022-02-23,UMass,W,82,61
29,2022-02-26,La Salle,L,60,62
30,2022-03-01,Richmond,W,55,53
31,2022-03-05,Davidson,W,82,76
32,2022-03-11,UMass,W,75,72
33,2022-03-12,Richmond,L,64,68
34,2022-03-16,Toledo,W,74,55
35,2022-03-20,Vanderbilt,L,68,70
