G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Coe,W,87,61
2,11/14/2021,South Dakota,W,99,50
3,11/20/2021,Richmond,W,73,70
4,11/25/2021,Belmont,L,69,74
5,11/26/2021,Alabama,L,71,80
6,11/28/2021,North Texas,L,54,57
7,12/2/2021,Valparaiso,W,73,66
8,12/5/2021,St. Thomas,W,74,64
9,12/8/2021,Omaha,W,78,70
10,12/11/2021,Clemson,L,80,90
11,12/16/2021,Jackson State,W,70,65
12,12/19/2021,UT-Martin,W,80,54
13,12/22/2021,Chicago State,W,87,50
14,12/28/2021,Mount Marty,W,82,53
15,1/2/2022,Missouri State,L,56,61
16,1/8/2022,Evansville,W,60,59
17,1/12/2022,Illinois State,W,86,75
18,1/17/2022,Southern Illinois,W,60,59
19,1/19/2022,Bradley,L,71,83
20,1/22/2022,Northern Iowa,W,82,74
21,1/26/2022,Illinois State,W,89,88
22,1/30/2022,Loyola (IL),W,77,68
23,2/2/2022,Indiana State,W,85,67
24,2/5/2022,Northern Iowa,L,69,74
25,2/9/2022,Missouri State,L,62,66
26,2/12/2022,Bradley,L,59,68
27,2/16/2022,Evansville,W,73,51
28,2/19/2022,Loyola (IL),W,83,76
29,2/21/2022,Indiana State,W,74,58
30,2/23/2022,Valparaiso,W,71,65
31,2/26/2022,Southern Illinois,W,62,60
32,3/4/2022,Southern Illinois,W,65,52
33,3/5/2022,Missouri State,L,79,78
34,3/6/2022,Loyola (IL),W,58,64
35,3/19/2022,Purdue Fort Wayne,L,87,65
36,3/21/2022,UNC Wilmington,L,75,76
