G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Rider,W,73,61
2,11/13/2021,Hofstra,L,63,73
3,11/15/2021,Weber State,L,59,63
4,11/19/2021,Northeastern,L,55,71
5,11/20/2021,Colorado,L,76,84
6,11/22/2021,Bradley,W,78,70
7,11/28/2021,American,W,88,79
8,12/1/2021,Bowling Green State,L,70,78
9,12/4/2021,Marshall,L,71,72
10,12/7/2021,DePaul,L,67,87
11,12/11/2021,New Hampshire,W,64,62
12,12/19/2021,UC-Irvine,W,76,54
13,1/8/2022,UMass,W,78,74
14,1/12/2022,Fordham,L,71,72
15,1/15/2022,Dayton,L,52,72
16,1/21/2022,St. Bonaventure,L,56,64
17,1/26/2022,St. Joseph's,L,61,72
18,1/29/2022,Saint Louis,L,53,77
19,2/1/2022,Richmond,L,57,74
20,2/5/2022,VCU,L,62,71
21,2/9/2022,Dayton,L,54,75
22,2/12/2022,Fordham,L,54,65
23,2/14/2022,Davidson,L,61,72
24,2/16/2022,George Washington,L,52,73
25,2/19/2022,St. Bonaventure,L,55,81
26,2/23/2022,Davidson,L,50,74
27,2/26/2022,Rhode Island,L,54,70
28,3/2/2022,George Washington,L,93,98
29,3/5/2022,La Salle,L,76,85
30,3/9/2022,Rhode Island,L,77,79
