G,Date,Opponent,W/L,Tm,Opp
1,2021-11-10,New Mexico,L,92,99
2,2021-11-13,Warner,W,78,56
3,2021-11-16,Miami (FL),L,66,68
4,2021-11-19,UT-Martin,W,75,67
5,2021-11-20,North Dakota,W,98,79
6,2021-11-22,Troy,L,78,83
7,2021-11-28,James Madison,L,65,69
8,2021-12-01,Stetson,W,83,73
9,2021-12-05,North Florida,W,76,41
10,2021-12-08,Palm Beach Atlantic,W,84,63
11,2021-12-15,VCU,L,46,66
12,2021-12-17,Florida Tech,W,78,55
13,2021-12-21,High Point,L,52,55
14,2022-01-08,Marshall,W,90,77
15,2022-01-13,Middle Tennessee,L,57,70
16,2022-01-15,UAB,L,65,76
17,2022-01-17,Charlotte,W,96,67
18,2022-01-20,Western Kentucky,W,78,69
19,2022-01-22,Marshall,W,71,60
20,2022-01-27,UTEP,L,68,70
21,2022-01-29,UTSA,W,73,64
22,2022-02-03,Louisiana Tech,W,83,73
23,2022-02-05,Southern Miss,W,84,57
24,2022-02-08,Old Dominion,W,81,62
25,2022-02-10,Western Kentucky,L,69,76
26,2022-02-17,North Texas,L,51,54
27,2022-02-19,Middle Tennessee,L,79,87
28,2022-02-24,Old Dominion,L,51,70
29,2022-02-26,Charlotte,W,74,69
30,2022-03-03,Florida International,W,71,51
31,2022-03-05,Florida International,W,84,76
32,2022-03-09,Southern Miss,W,86,59
33,2022-03-10,UAB,L,66,80
34,2022-03-20,Northern Colorado,L,71,74
