G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,Grambling,W,74,53
2,2021-11-12,North Florida,W,65,51
3,2021-11-17,Prairie View,W,91,64
4,2021-11-22,Wyoming,L,61,68
5,2021-11-24,Life Pacific,W,82,47
6,2021-11-27,Pepperdine,W,59,56
7,2021-11-29,Loyola Marymount,W,78,72
8,2021-12-02,UTSA,W,74,71
9,2021-12-04,Mississippi Valley State,W,91,44
10,2021-12-09,Arizona State,L,62,67
11,2021-12-11,Ottawa (AZ),W,81,53
12,2021-12-18,San Francisco,W,49,48
13,2021-12-30,Chicago State,W,80,63
14,2022-01-06,Texas-Rio Grande Valley,W,84,70
15,2022-01-08,Lamar,,,
16,2022-01-13,Abilene Christian,W,95,68
17,2022-01-15,Tarleton State,W,80,59
18,2022-01-20,Stephen F. Austin,L,46,71
19,2022-01-22,Sam Houston,L,56,58
20,2022-01-29,New Mexico State,L,61,71
21,2022-02-03,Seattle,W,78,66
22,2022-02-05,California Baptist,W,56,50
23,2022-02-10,Utah Valley,W,79,69
24,2022-02-12,Utah Tech,L,60,61
25,2022-02-16,California Baptist,W,65,60
26,2022-02-19,New Mexico State,L,66,82
27,2022-02-23,Chicago State,W,85,64
28,2022-02-26,Sam Houston,W,67,41
29,2022-03-03,Utah Valley,W,68,57
30,2022-03-05,Utah Tech,W,70,53
31,2022-03-10,Sam Houston,W,71,66
32,2022-03-11,New Mexico State,L,70,75
