G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Jackson State,W,71,47
2,11/12/2021,Arkansas State,W,92,53
3,11/15/2021,Marquette,L,66,67
4,11/22/2021,Cincinnati,L,51,71
5,11/23/2021,Kansas State,W,72,64
6,11/26/2021,Texas-Rio Grande Valley,W,94,85
7,11/29/2021,Notre Dame,W,82,72
8,12/3/2021,Rutgers,W,86,51
9,12/6/2021,Iowa,W,87,83
10,12/11/2021,Arizona,L,79,83
11,12/18/2021,Saint Francis (PA),W,106,48
12,12/22/2021,Missouri,W,88,63
13,1/4/2022,Minnesota,W,76,53
14,1/6/2022,Maryland,W,76,64
15,1/11/2022,Nebraska,W,81,71
16,1/14/2022,Michigan,W,68,53
17,1/17/2022,Purdue,L,88,96
18,1/21/2022,Maryland,L,65,81
19,1/25/2022,Michigan State,W,56,55
20,1/29/2022,Northwestern,W,59,56
21,2/2/2022,Wisconsin,W,80,67
22,2/5/2022,Indiana,W,74,57
23,2/8/2022,Purdue,L,68,84
24,2/13/2022,Northwestern,W,73,66
25,2/16/2022,Rutgers,L,59,70
26,2/19/2022,Michigan State,W,79,74
27,2/24/2022,Ohio State,L,83,86
28,2/27/2022,Michigan,W,93,85
29,3/3/2022,Penn State,W,60,55
30,3/6/2022,Iowa,W,74,72
31,3/11/2022,Indiana,L,63,65
32,3/18/2022,Chattanooga,W,54,53
33,3/20/2022,Houston,L,53,68
