G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Kennesaw State,W,84,73
2,11/12/2021,Oregon State,W,60,50
3,11/16/2021,Alabama State,W,68,60
4,11/21/2021,Grambling,W,82,47
5,11/24/2021,Xavier,W,82,70
6,11/26/2021,Memphis,W,78,59
7,12/1/2021,Arkansas-Pine Bluff,W,83,64
8,12/4/2021,Creighton,W,64,58
9,12/9/2021,Iowa,W,73,53
10,12/12/2021,Jackson State,W,47,37
11,12/19/2021,Southeastern Louisiana,W,77,54
12,12/21/2021,Chicago State,W,79,48
13,1/1/2022,Baylor,L,72,77
14,1/5/2022,Texas Tech,W,51,47
15,1/8/2022,Oklahoma,L,66,79
16,1/11/2022,Kansas,L,61,62
17,1/15/2022,Texas,W,79,70
18,1/18/2022,Texas Tech,L,60,72
19,1/22/2022,TCU,L,44,59
20,1/26/2022,Oklahoma State,W,84,81
21,1/29/2022,Missouri,W,67,50
22,2/1/2022,Kansas,L,61,70
23,2/5/2022,Texas,L,41,63
24,2/8/2022,West Virginia,L,63,79
25,2/12/2022,Kansas State,L,69,75
26,2/15/2022,TCU,W,54,51
27,2/19/2022,Oklahoma,W,75,54
28,2/23/2022,West Virginia,W,84,81
29,2/26/2022,Kansas State,W,74,73
30,3/2/2022,Oklahoma State,L,36,53
31,3/5/2022,Baylor,L,68,75
32,3/10/2022,Texas Tech,L,41,72
33,3/18/2022,LSU,W,59,54
34,3/20/2022,Wisconsin,W,54,49
35,3/25/2022,Miami (FL),L,56,70
