G,Date,Opponent,W/L,Tm,Opp
1,11/10/2021,Carlow,W,135,40
2,11/13/2021,Old Dominion,W,58,53
3,11/16/2021,Eastern Kentucky,W,79,78
4,11/19/2021,George Mason,W,67,64
5,11/22/2021,Kent State,L,69,74
6,11/23/2021,Wright State,W,78,76
7,11/24/2021,Murray State,L,62,74
8,11/28/2021,Florida Atlantic,W,69,65
9,12/2/2021,Eastern Mennonite,W,96,54
10,12/7/2021,Virginia,W,52,49
11,12/11/2021,Radford,W,79,70
12,1/9/2022,Hofstra,L,80,87
13,1/11/2022,Northeastern,W,89,66
14,1/15/2022,William & Mary,W,95,91
15,1/17/2022,Elon,L,67,90
16,1/20/2022,UNC Wilmington,L,70,71
17,1/22/2022,College of Charleston,W,95,94
18,1/27/2022,Drexel,L,82,88
19,1/29/2022,Delaware,L,69,85
20,2/3/2022,Northeastern,W,76,71
21,2/5/2022,Hofstra,L,78,85
22,2/7/2022,Drexel,L,66,72
23,2/10/2022,Elon,L,66,70
24,2/12/2022,William & Mary,W,69,55
25,2/14/2022,Delaware,L,60,81
26,2/17/2022,College of Charleston,W,71,63
27,2/19/2022,UNC Wilmington,L,77,78
28,2/23/2022,Towson,L,65,84
29,2/26/2022,Towson,L,59,95
