G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Michigan State,W,87,74
2,11/12/2021,Tarleton State,W,88,62
3,11/18/2021,Stony Brook,W,88,59
4,11/25/2021,North Texas,W,71,59
5,11/26/2021,Dayton,L,73,74
6,11/28/2021,Iona,W,96,83
7,12/3/2021,St. John's (NY),W,95,75
8,12/7/2021,UTEP,W,78,52
9,12/11/2021,Missouri,W,102,65
10,12/18/2021,Stephen F. Austin,W,80,72
11,12/29/2021,Nevada,W,88,61
12,1/1/2022,George Mason,W,76,67
13,1/4/2022,Oklahoma State,W,74,63
14,1/8/2022,Texas Tech,L,67,75
15,1/11/2022,Iowa State,W,62,61
16,1/15/2022,West Virginia,W,85,59
17,1/18/2022,Oklahoma,W,67,64
18,1/22/2022,Kansas State,W,78,75
19,1/24/2022,Texas Tech,W,94,91
20,1/29/2022,Kentucky,L,62,80
21,2/1/2022,Iowa State,W,70,61
22,2/5/2022,Baylor,W,83,59
23,2/7/2022,Texas,L,76,79
24,2/12/2022,Oklahoma,W,71,69
25,2/14/2022,Oklahoma State,W,76,62
26,2/19/2022,West Virginia,W,71,58
27,2/22/2022,Kansas State,W,102,83
28,2/26/2022,Baylor,L,70,80
29,3/1/2022,TCU,L,64,74
30,3/3/2022,TCU,W,72,68
31,3/5/2022,Texas,W,70,63
32,3/10/2022,West Virginia,W,87,63
33,3/11/2022,TCU,W,75,62
34,3/12/2022,Texas Tech,W,74,65
35,3/17/2022,Texas Southern,W,83,56
36,3/19/2022,Creighton,W,79,72
37,3/25/2022,Providence,W,66,61
38,3/27/2022,Miami (FL),W,76,50
39,4/2/2022,Villanova,W,81,65
40,4/4/2022,UNC,W,72,69
