G,Date,Opponent,W/L,Tm,Opp
1,11/10/2021,Idaho,W,95,89
2,11/15/2021,UCLA,L,79,100
3,11/17/2021,Utah Valley,L,78,84
4,11/22/2021,Missouri State,L,66,92
5,11/23/2021,Murray State,L,43,80
6,11/24/2021,Wright State,W,85,76
7,11/30/2021,San Diego State,L,47,72
8,12/4/2021,Loyola Marymount,L,74,77
9,12/8/2021,Bethesda University (CA),W,102,69
10,12/12/2021,USC,L,62,73
11,1/5/2022,Westcliff,W,90,64
12,1/6/2022,UCLA,L,78,96
13,1/8/2022,Hawaii,L,67,72
14,1/13/2022,UCSB,W,65,58
15,1/15/2022,Cal State Northridge,W,71,55
16,1/20/2022,UC-San Diego,W,87,69
17,1/22/2022,UC-Irvine,W,73,67
18,1/27/2022,UC-Riverside,W,68,62
19,1/29/2022,UC-Davis,W,70,63
20,2/3/2022,Cal State Bakersfield,W,74,65
21,2/5/2022,Cal Poly,W,78,65
22,2/8/2022,Cal State Fullerton,W,71,61
23,2/10/2022,Hawaii,W,73,66
24,2/17/2022,Cal State Northridge,W,72,59
25,2/19/2022,UCSB,L,71,84
26,2/24/2022,UC-San Diego,W,103,87
27,2/26/2022,UC-Irvine,L,72,77
28,3/3/2022,UC-Davis,W,68,65
29,3/5/2022,UC-Riverside,W,73,72
30,3/10/2022,Cal State Bakersfield,W,72,61
31,3/11/2022,UCSB,W,67,64
32,3/12/2022,Cal State Fullerton,L,71,72
33,3/16/2022,BYU,L,72,93
