G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,SIU-Edwardsville,W,88,77
2,11/12/2021,New Hampshire,W,75,70
3,11/15/2021,Illinois,W,67,66
4,11/18/2021,Ole Miss,W,78,72
5,11/19/2021,West Virginia,W,82,71
6,11/21/2021,St. Bonaventure,L,54,70
7,11/27/2021,Northern Illinois,W,80,66
8,11/30/2021,Jackson State,W,83,54
9,12/4/2021,Wisconsin,L,76,89
10,12/8/2021,Kansas State,W,64,63
11,12/11/2021,UCLA,L,56,67
12,12/18/2021,Xavier,L,71,80
13,12/21/2021,UConn,L,70,78
14,1/1/2022,Creighton,L,69,75
15,1/4/2022,Providence,W,88,56
16,1/7/2022,Georgetown,W,92,64
17,1/11/2022,DePaul,W,87,76
18,1/15/2022,Seton Hall,W,73,72
19,1/19/2022,Villanova,W,57,54
20,1/23/2022,Xavier,W,75,64
21,1/26/2022,Seton Hall,W,73,63
22,1/30/2022,Providence,L,63,65
23,2/2/2022,Villanova,W,83,73
24,2/8/2022,UConn,L,72,80
25,2/12/2022,Butler,L,79,85
26,2/16/2022,Georgetown,W,77,66
27,2/20/2022,Creighton,L,82,83
28,2/26/2022,Butler,W,64,56
29,3/2/2022,DePaul,L,80,91
30,3/5/2022,St. John's (NY),W,85,77
31,3/10/2022,Creighton,L,63,74
32,3/17/2022,UNC,L,63,95
