G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,SMU,L,62,86
2,11/11/2021,TCU,L,61,77
3,11/15/2021,Champion Christian,W,116,66
4,11/18/2021,LSU,L,46,85
5,11/22/2021,Carver College,W,98,54
6,11/26/2021,St. Francis (NY),W,71,59
7,11/27/2021,Samford,L,75,83
8,12/1/2021,Seattle,L,62,78
9,12/4/2021,Wyoming,L,58,79
10,12/8/2021,Louisiana,L,68,83
11,12/16/2021,UTEP,L,72,82
12,12/21/2021,Kansas State,L,59,74
13,12/30/2021,Ecclesia,W,115,66
14,1/6/2022,New Orleans,W,92,82
15,1/7/2022,Southeastern Louisiana,L,78,83
16,1/8/2022,Texas A&M-Corpus Christi,L,54,67
17,1/12/2022,Arlington Baptist,W,120,44
18,1/15/2022,Houston Christian,W,78,75
19,1/20/2022,Texas A&M-Corpus Christi,L,56,60
20,1/22/2022,Incarnate Word,W,82,72
21,1/27/2022,Nicholls State,L,71,81
22,1/30/2022,New Orleans,L,78,84
23,2/3/2022,Southeastern Louisiana,L,78,83
24,2/5/2022,Northwestern State,W,93,84
25,2/10/2022,Southeastern Louisiana,L,86,91
26,2/12/2022,Northwestern State,W,80,75
27,2/17/2022,Nicholls State,L,73,82
28,2/19/2022,New Orleans,L,75,88
29,2/24/2022,Texas A&M-Corpus Christi,L,53,65
30,2/26/2022,Incarnate Word,L,67,69
31,3/5/2022,Houston Christian,L,144,149
32,3/9/2022,Northwestern State,W,80,67
33,3/10/2022,New Orleans,L,78,82
