G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,Kansas,L,74,87
2,2021-11-12,Western Michigan,W,90,46
3,2021-11-17,Butler,W,73,52
4,2021-11-20,Eastern Michigan,W,83,59
5,2021-11-24,Loyola (IL),W,63,61
6,2021-11-25,UConn,W,64,60
7,2021-11-26,Baylor,L,58,75
8,2021-12-01,Louisville,W,73,64
9,2021-12-04,Toledo,W,81,68
10,2021-12-08,Minnesota,W,75,67
11,2021-12-11,Penn State,W,80,64
12,2021-12-21,Oakland,W,90,78
13,2021-12-29,High Point,W,81,68
14,2022-01-02,Northwestern,W,73,67
15,2022-01-05,Nebraska,W,79,67
16,2022-01-12,Minnesota,W,71,69
17,2022-01-15,Northwestern,L,62,64
18,2022-01-21,Wisconsin,W,86,74
19,2022-01-25,Illinois,L,55,56
20,2022-01-29,Michigan,W,83,67
21,2022-02-01,Maryland,W,65,63
22,2022-02-05,Rutgers,L,63,84
23,2022-02-08,Wisconsin,L,62,70
24,2022-02-12,Indiana,W,76,61
25,2022-02-15,Penn State,L,58,62
26,2022-02-19,Illinois,L,74,79
27,2022-02-22,Iowa,L,60,86
28,2022-02-26,Purdue,W,68,65
29,2022-03-01,Michigan,L,70,87
30,2022-03-03,Ohio State,L,69,80
31,2022-03-06,Maryland,W,77,67
32,2022-03-10,Maryland,W,76,72
33,2022-03-11,Wisconsin,W,69,63
34,2022-03-12,Purdue,L,70,75
35,2022-03-18,Davidson,W,74,73
36,2022-03-20,Duke,L,76,85
