G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Colorado,L,90,94
2,11/14/2021,Rocky Mountain,W,81,52
3,11/17/2021,South Dakota State,L,74,91
4,11/20/2021,New Mexico,L,78,81
5,11/26/2021,Portland,W,69,66
6,11/27/2021,Incarnate Word,W,83,64
7,11/28/2021,Southeast Missouri State,W,75,68
8,12/2/2021,Northern Colorado,L,75,77
9,12/4/2021,Sacramento State,W,68,66
10,12/7/2021,North Dakota State,W,68,49
11,12/11/2021,St. Thomas,W,72,65
12,12/19/2021,Portland,W,61,59
13,12/22/2021,SAGU Amer. Indian Coll.,W,124,73
14,12/30/2021,Weber State,L,75,85
15,1/1/2022,Idaho State,W,60,40
16,1/6/2022,Idaho,W,92,72
17,1/9/2022,Montana,W,66,59
18,1/20/2022,Northern Arizona,W,89,84
19,1/22/2022,Portland State,W,73,60
20,1/27/2022,Eastern Washington,W,69,65
21,1/29/2022,Idaho,W,70,64
22,2/5/2022,Weber State,W,78,57
23,2/7/2022,Idaho State,W,72,54
24,2/10/2022,Portland State,W,77,74
25,2/12/2022,Northern Arizona,W,72,70
26,2/17/2022,Eastern Washington,L,86,88
27,2/19/2022,Southern Utah,W,76,71
28,2/27/2022,Montana,L,74,80
29,3/1/2022,Southern Utah,W,69,53
30,3/3/2022,Sacramento State,W,75,69
31,3/5/2022,Northern Colorado,W,87,85
32,3/10/2022,Sacramento State,W,83,61
33,3/11/2022,Weber State,W,69,66
34,3/12/2022,Northern Colorado,W,87,66
35,3/18/2022,Texas Tech,L,62,97
