G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,Auburn,L,54,77
2,2021-11-12,UAB,L,71,85
3,2021-11-15,Kentucky Christian,W,82,57
4,2021-11-18,Transylvania,W,84,59
5,2021-11-21,Mississippi State,L,46,66
6,2021-11-26,Arkansas State,W,75,51
7,2021-11-27,Kansas City,W,70,62
8,2021-12-01,Georgia Southern,W,59,51
9,2021-12-06,Presbyterian,W,71,66
10,2021-12-11,ETSU,L,75,82
11,2021-12-15,Xavier,L,63,86
12,2021-12-18,Alice Lloyd,W,87,47
13,2021-12-21,IU Indianapolis,W,80,52
14,2021-12-29,Eastern Illinois,W,63,50
15,2022-01-08,Austin Peay,W,66,55
16,2022-01-12,UT-Martin,W,76,62
17,2022-01-15,Tennessee State,W,71,64
18,2022-01-20,Belmont,W,83,74
19,2022-01-22,SIU-Edwardsville,W,77,74
20,2022-01-24,Tennessee State,W,67,54
21,2022-01-27,Southeast Missouri State,W,74,73
22,2022-01-29,Murray State,L,66,77
23,2022-01-31,Tennessee Tech,W,70,56
24,2022-02-03,Tennessee Tech,W,75,68
25,2022-02-05,Austin Peay,W,77,52
26,2022-02-10,Belmont,L,47,48
27,2022-02-12,Murray State,L,53,57
28,2022-02-16,UT-Martin,W,68,60
29,2022-02-19,Southeast Missouri State,L,84,92
30,2022-02-24,Eastern Illinois,W,82,46
31,2022-02-26,SIU-Edwardsville,L,70,77
32,2022-03-03,Tennessee Tech,W,73,56
33,2022-03-04,Belmont,W,53,51
34,2022-03-05,Murray State,L,67,71
