G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Bucknell,W,88,70
2,11/13/2021,Colgate,W,77,74
3,11/16/2021,Central Connecticut,W,79,65
4,11/17/2021,Oklahoma State,L,68,74
5,11/21/2021,Texas Southern,W,65,57
6,11/27/2021,Louisiana Tech,W,90,81
7,12/1/2021,Nebraska,W,104,100
8,12/4/2021,Louisville,L,68,73
9,12/9/2021,Bethune-Cookman,W,65,48
10,12/12/2021,Purdue,L,72,82
11,12/17/2021,Richmond,L,74,83
12,12/21/2021,Wright State,L,70,84
13,12/29/2021,Miami (FL),L,83,91
14,1/1/2022,Florida State,L,81,83
15,1/4/2022,Virginia Tech,W,68,63
16,1/8/2022,Clemson,L,65,70
17,1/12/2022,Louisville,W,79,63
18,1/15/2022,Duke,L,73,88
19,1/19/2022,Virginia Tech,L,59,62
20,1/22/2022,Virginia,W,77,63
21,1/26/2022,Notre Dame,L,65,73
22,1/29/2022,UNC,L,80,100
23,2/2/2022,Syracuse,L,82,89
24,2/5/2022,Notre Dame,L,57,69
25,2/9/2022,Wake Forest,L,51,69
26,2/12/2022,Pitt,L,69,71
27,2/15/2022,Georgia Tech,W,76,61
28,2/23/2022,Boston College,L,61,69
29,2/26/2022,UNC,L,74,84
30,3/2/2022,Wake Forest,L,76,101
31,3/5/2022,Florida State,L,76,89
32,3/8/2022,Clemson,L,64,70
