G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Western Illinois,L,74,75
2,11/12/2021,Sam Houston,W,74,65
3,11/16/2021,Creighton,L,69,77
4,11/19/2021,Idaho State,W,78,60
5,11/21/2021,Southern,W,82,59
6,11/23/2021,Tennessee State,W,79,73
7,11/27/2021,South Dakota,W,83,70
8,12/1/2021,NC State,L,100,104
9,12/4/2021,Indiana,L,55,68
10,12/7/2021,Michigan,L,67,102
11,12/11/2021,Auburn,L,68,99
12,12/19/2021,Kansas State,L,58,67
13,12/22/2021,Kennesaw State,W,88,74
14,1/2/2022,Ohio State,L,79,87
15,1/5/2022,Michigan State,L,67,79
16,1/8/2022,Rutgers,L,65,93
17,1/11/2022,Illinois,L,71,81
18,1/14/2022,Purdue,L,65,92
19,1/17/2022,Indiana,L,71,78
20,1/27/2022,Wisconsin,L,65,73
21,1/29/2022,Rutgers,L,61,63
22,2/1/2022,Michigan,L,79,85
23,2/5/2022,Northwestern,L,63,87
24,2/9/2022,Minnesota,W,78,65
25,2/13/2022,Iowa,L,75,98
26,2/18/2022,Maryland,L,74,90
27,2/22/2022,Northwestern,L,65,77
28,2/25/2022,Iowa,L,78,88
29,2/27/2022,Penn State,W,93,70
30,3/1/2022,Ohio State,W,78,70
31,3/6/2022,Wisconsin,W,74,73
32,3/9/2022,Northwestern,L,69,71
