G,Date,Opponent,W/L,Tm,Opp
1,11/10/2021,Florida Atlantic,W,99,92
2,11/13/2021,Colorado,L,76,87
3,11/15/2021,Grambling,W,86,61
4,11/20/2021,Montana State,W,81,78
5,11/22/2021,Western New Mexico,W,88,63
6,11/25/2021,UAB,L,73,86
7,11/26/2021,Towson,L,58,73
8,11/30/2021,New Mexico State,W,101,94
9,12/6/2021,New Mexico State,L,76,78
10,12/9/2021,Denver,W,87,67
11,12/12/2021,UTEP,L,69,77
12,12/19/2021,SMU,L,72,90
13,12/21/2021,Norfolk State,W,68,54
14,1/1/2022,Nevada,L,70,79
15,1/8/2022,Utah State,L,87,90
16,1/11/2022,UNLV,L,56,85
17,1/15/2022,Boise State,L,63,71
18,1/19/2022,Colorado State,L,74,80
19,1/22/2022,Wyoming,L,91,93
20,1/25/2022,Fresno State,L,60,65
21,1/28/2022,San Jose State,W,86,70
22,1/31/2022,San Diego State,L,47,72
23,2/5/2022,Air Force,W,91,77
24,2/11/2022,Northern New Mexico,W,78,46
25,2/15/2022,Wyoming,W,75,66
26,2/17/2022,Colorado State,L,68,83
27,2/20/2022,San Jose State,L,55,71
28,2/22/2022,Utah State,L,56,81
29,2/26/2022,Air Force,W,69,65
30,2/28/2022,Fresno State,L,68,71
31,3/5/2022,UNLV,W,76,67
32,3/9/2022,Nevada,L,72,79
