G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Loyola (MD),W,83,67
2,11/12/2021,Brown,W,94,87
3,11/16/2021,College of Charleston,W,94,83
4,11/20/2021,Purdue,L,84,93
5,11/21/2021,Tennessee,L,72,89
6,11/23/2021,UNC Asheville,W,72,53
7,12/1/2021,Michigan,W,72,51
8,12/5/2021,Georgia Tech,W,79,62
9,12/11/2021,Elon,W,80,63
10,12/14/2021,Furman,W,74,61
11,12/18/2021,Kentucky,L,69,98
12,12/21/2021,Appalachian State,W,70,50
13,1/2/2022,Boston College,W,91,65
14,1/5/2022,Notre Dame,L,73,78
15,1/8/2022,Virginia,W,74,58
16,1/15/2022,Georgia Tech,W,88,65
17,1/18/2022,Miami (FL),L,57,85
18,1/22/2022,Wake Forest,L,76,98
19,1/24/2022,Virginia Tech,W,78,68
20,1/26/2022,Boston College,W,58,47
21,1/29/2022,NC State,W,100,80
22,2/1/2022,Louisville,W,90,83
23,2/5/2022,Duke,L,67,87
24,2/8/2022,Clemson,W,79,77
25,2/12/2022,Florida State,W,94,74
26,2/16/2022,Pitt,L,67,76
27,2/19/2022,Virginia Tech,W,65,57
28,2/21/2022,Louisville,W,70,63
29,2/26/2022,NC State,W,84,74
30,2/28/2022,Syracuse,W,88,79
31,3/5/2022,Duke,W,94,81
32,3/10/2022,Virginia,W,63,43
33,3/11/2022,Virginia Tech,L,59,72
34,3/17/2022,Marquette,W,95,63
35,3/19/2022,Baylor,W,93,86
36,3/25/2022,UCLA,W,73,66
37,3/27/2022,St. Peter's,W,69,49
38,4/2/2022,Duke,W,81,77
39,4/4/2022,Kansas,L,69,72
