G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Texas Southern,W,83,66
2,11/12/2021,SMU,W,86,63
3,11/16/2021,BYU,L,49,81
4,11/22/2021,Chaminade,W,73,49
5,11/23/2021,Saint Mary's,L,50,62
6,11/24/2021,Houston,L,49,78
7,11/29/2021,Montana,W,87,47
8,12/1/2021,UC-Riverside,W,71,65
9,12/5/2021,Arizona State,L,67,69
10,12/12/2021,Stanford,L,69,72
11,12/15/2021,Portland,W,96,71
12,12/18/2021,Baylor,L,70,78
13,12/21/2021,Pepperdine,W,68,59
14,1/1/2022,Utah,W,79,66
15,1/10/2022,Oregon State,W,78,76
16,1/13/2022,UCLA,W,84,81
17,1/15/2022,USC,W,79,69
18,1/23/2022,Washington,W,84,56
19,1/25/2022,Colorado,L,78,82
20,1/29/2022,Oregon State,W,78,56
21,2/3/2022,Colorado,W,66,51
22,2/5/2022,Utah,W,80,77
23,2/10/2022,Stanford,W,68,60
24,2/12/2022,California,L,64,78
25,2/14/2022,Washington State,W,62,59
26,2/17/2022,Arizona State,L,57,81
27,2/19/2022,Arizona,L,81,84
28,2/24/2022,UCLA,W,68,63
29,2/26/2022,USC,L,69,70
30,3/3/2022,Washington,L,67,78
31,3/5/2022,Washington State,L,74,94
32,3/9/2022,Oregon State,W,86,72
33,3/10/2022,Colorado,L,69,80
34,3/15/2022,Utah State,W,83,72
35,3/19/2022,Texas A&M,L,60,75
