G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Bellarmine,W,96,67
2,11/12/2021,Indiana State,W,92,67
3,11/16/2021,Wright State,W,96,52
4,11/20/2021,UNC,W,93,84
5,11/21/2021,Villanova,W,80,74
6,11/26/2021,Omaha,W,97,40
7,11/30/2021,Florida State,W,93,65
8,12/3/2021,Iowa,W,77,70
9,12/9/2021,Rutgers,L,68,70
10,12/12/2021,NC State,W,82,72
11,12/18/2021,Butler,W,77,48
12,12/20/2021,Incarnate Word,W,79,59
13,12/29/2021,Nicholls State,W,104,90
14,1/3/2022,Wisconsin,L,69,74
15,1/8/2022,Penn State,W,74,67
16,1/14/2022,Nebraska,W,92,65
17,1/17/2022,Illinois,W,96,88
18,1/20/2022,Indiana,L,65,68
19,1/23/2022,Northwestern,W,80,60
20,1/27/2022,Iowa,W,83,73
21,1/30/2022,Ohio State,W,81,78
22,2/2/2022,Minnesota,W,88,73
23,2/5/2022,Michigan,W,82,76
24,2/8/2022,Illinois,W,84,68
25,2/10/2022,Michigan,L,58,82
26,2/13/2022,Maryland,W,62,61
27,2/16/2022,Northwestern,W,70,64
28,2/20/2022,Rutgers,W,84,72
29,2/26/2022,Michigan State,L,65,68
30,3/1/2022,Wisconsin,L,67,70
31,3/5/2022,Indiana,W,69,67
32,3/11/2022,Penn State,W,69,61
33,3/12/2022,Michigan State,W,75,70
34,3/13/2022,Iowa,L,66,75
35,3/18/2022,Yale,W,78,56
36,3/20/2022,Texas,W,81,71
37,3/25/2022,St. Peter's,L,64,67
