G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Prairie View,W,87,68
2,11/12/2021,Texas Southern,W,67,58
3,11/15/2021,Southern Utah,W,70,51
4,11/17/2021,Bellarmine,W,73,64
5,11/22/2021,Notre Dame,W,62,59
6,11/23/2021,Oregon,W,62,50
7,11/24/2021,Wisconsin,L,55,61
8,11/29/2021,UC-Riverside,W,67,50
9,12/2/2021,Utah State,W,60,58
10,12/4/2021,Colorado State,L,58,74
11,12/11/2021,UCSB,W,80,59
12,12/14/2021,Cal State Stanislaus,W,76,39
13,12/17/2021,San Diego State,L,53,63
14,12/22/2021,Missouri State,W,75,58
15,12/28/2021,Yale,W,87,60
16,1/8/2022,BYU,L,43,52
17,1/13/2022,Pepperdine,W,77,62
18,1/20/2022,Santa Clara,W,73,65
19,1/22/2022,Loyola Marymount,W,83,51
20,1/27/2022,San Francisco,W,72,70
21,1/29/2022,Pepperdine,W,81,57
22,2/3/2022,Portland,W,75,54
23,2/5/2022,Loyola Marymount,W,71,60
24,2/8/2022,Santa Clara,L,72,77
25,2/10/2022,San Diego,W,86,57
26,2/12/2022,Gonzaga,L,58,74
27,2/17/2022,San Francisco,W,69,64
28,2/19/2022,BYU,W,69,64
29,2/24/2022,San Diego,W,60,46
30,2/26/2022,Gonzaga,W,67,57
31,3/7/2022,Santa Clara,W,75,72
32,3/8/2022,Gonzaga,L,69,82
33,3/17/2022,Indiana,W,82,53
34,3/19/2022,UCLA,L,56,72
