G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,USC Upstate,W,78,60
2,11/12/2021,Princeton,L,62,66
3,11/14/2021,Western Kentucky,W,75,64
4,11/18/2021,UAB,W,66,63
5,11/23/2021,Wofford,W,85,74
6,11/28/2021,Rider,W,65,58
7,12/1/2021,Coastal Carolina,L,56,80
8,12/5/2021,Georgetown,W,80,67
9,12/12/2021,Florida State,W,66,65
10,12/14/2021,Allen,W,110,51
11,12/18/2021,Clemson,L,56,70
12,12/22/2021,Army,W,105,75
13,1/4/2022,Auburn,L,66,81
14,1/8/2022,Vanderbilt,W,72,70
15,1/11/2022,Tennessee,L,46,66
16,1/15/2022,Florida,L,63,71
17,1/18/2022,Arkansas,L,59,75
18,1/22/2022,Georgia,W,83,66
19,1/26/2022,Vanderbilt,W,70,61
20,1/29/2022,Texas A&M,W,74,63
21,2/1/2022,Mississippi State,L,64,78
22,2/5/2022,Tennessee,L,57,81
23,2/8/2022,Kentucky,L,76,86
24,2/12/2022,Georgia,W,80,68
25,2/15/2022,Ole Miss,W,77,74
26,2/19/2022,LSU,W,77,75
27,2/23/2022,Mississippi State,W,66,56
28,2/26/2022,Alabama,L,71,90
29,3/1/2022,Missouri,W,73,69
30,3/5/2022,Auburn,L,71,82
31,3/10/2022,Mississippi State,L,51,73
