G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,VCU,L,54,57
2,11/13/2021,St. John's (NY),L,70,91
3,11/23/2021,LIU,W,64,62
4,11/27/2021,Providence,L,71,85
5,12/3/2021,Quinnipiac,W,69,59
6,12/5/2021,Siena,L,58,60
7,12/8/2021,St. Francis (NY),L,60,71
8,12/12/2021,Nyack,W,87,48
9,12/18/2021,Stony Brook,L,63,64
10,1/14/2022,Monmouth,W,67,62
11,1/16/2022,Rider,W,58,51
12,1/18/2022,Canisius,W,65,57
13,1/21/2022,Niagara,W,74,68
14,1/23/2022,Canisius,L,60,63
15,1/26/2022,Marist,W,69,62
16,1/28/2022,Manhattan,W,77,51
17,1/30/2022,Iona,L,77,85
18,2/4/2022,Quinnipiac,W,83,74
19,2/6/2022,Marist,W,66,50
20,2/11/2022,Rider,L,49,58
21,2/15/2022,Iona,L,61,70
22,2/18/2022,Fairfield,W,70,59
23,2/20/2022,Siena,L,70,84
24,2/25/2022,Monmouth,W,70,65
25,2/27/2022,Niagara,W,63,36
26,3/1/2022,Manhattan,W,73,51
27,3/5/2022,Fairfield,W,57,41
28,3/9/2022,Fairfield,W,77,63
29,3/11/2022,Quinnipiac,W,64,52
30,3/12/2022,Monmouth,W,60,54
31,3/17/2022,Kentucky,W,85,79
32,3/19/2022,Murray State,W,70,60
33,3/25/2022,Purdue,W,67,64
34,3/27/2022,UNC,L,49,69
