G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,North Florida,W,89,74
2,11/12/2021,Grambling,W,88,62
3,11/15/2021,Prairie View,W,84,49
4,11/20/2021,Incarnate Word,W,84,62
5,11/23/2021,Omaha,W,96,40
6,11/27/2021,Lamar,W,89,57
7,12/1/2021,Providence,L,68,72
8,12/7/2021,Tennessee,W,57,52
9,12/14/2021,Arkansas State,W,75,62
10,12/18/2021,Gonzaga,L,55,69
11,12/22/2021,Eastern Washington,W,78,46
12,12/28/2021,Alabama State,W,75,53
13,1/5/2022,Iowa State,L,47,51
14,1/8/2022,Kansas,W,75,67
15,1/11/2022,Baylor,W,65,62
16,1/13/2022,Oklahoma State,W,78,57
17,1/15/2022,Kansas State,L,51,62
18,1/18/2022,Iowa State,W,72,60
19,1/22/2022,West Virginia,W,78,65
20,1/24/2022,Kansas,L,91,94
21,1/29/2022,Mississippi State,W,76,50
22,2/1/2022,Texas,W,77,64
23,2/5/2022,West Virginia,W,60,53
24,2/9/2022,Oklahoma,L,55,70
25,2/12/2022,TCU,W,82,69
26,2/16/2022,Baylor,W,83,73
27,2/19/2022,Texas,W,61,55
28,2/22/2022,Oklahoma,W,66,42
29,2/26/2022,TCU,L,66,69
30,2/28/2022,Kansas State,W,73,68
31,3/5/2022,Oklahoma State,L,51,52
32,3/10/2022,Iowa State,W,72,41
33,3/11/2022,Oklahoma,W,56,55
34,3/12/2022,Kansas,L,65,74
35,3/18/2022,Montana State,W,97,62
36,3/20/2022,Notre Dame,W,59,53
37,3/24/2022,Duke,L,73,78
