G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,Houston Christian,W,92,48
2,2021-11-13,Gonzaga,L,74,86
3,2021-11-17,Northern Colorado,W,62,49
4,2021-11-20,San Jose State,W,79,45
5,2021-11-24,California Baptist,W,68,44
6,2021-11-29,Sam Houston,W,73,57
7,2021-12-03,Texas-Rio Grande Valley,W,88,58
8,2021-12-09,Seton Hall,L,60,64
9,2021-12-14,Arkansas-Pine Bluff,W,63,31
10,2021-12-19,Stanford,W,60,53
11,2021-12-22,Alabama State,W,68,48
12,2021-12-28,Incarnate Word,W,78,33
13,2022-01-01,West Virginia,W,74,59
14,2022-01-04,Kansas State,W,70,57
15,2022-01-08,Oklahoma State,L,51,64
16,2022-01-11,Oklahoma,W,66,52
17,2022-01-15,Iowa State,L,70,79
18,2022-01-18,Kansas State,L,65,66
19,2022-01-22,Oklahoma State,W,56,51
20,2022-01-25,TCU,W,73,50
21,2022-01-29,Tennessee,W,52,51
22,2022-02-01,Texas Tech,L,64,77
23,2022-02-05,Iowa State,W,63,41
24,2022-02-07,Kansas,W,79,76
25,2022-02-12,Baylor,L,63,80
26,2022-02-15,Oklahoma,W,80,78
27,2022-02-19,Texas Tech,L,55,61
28,2022-02-23,TCU,W,75,66
29,2022-02-26,West Virginia,W,82,81
30,2022-02-28,Baylor,L,61,68
31,2022-03-05,Kansas,L,63,70
32,2022-03-10,TCU,L,60,65
33,2022-03-18,Virginia Tech,W,81,73
34,2022-03-20,Purdue,L,71,81
