G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,UNC Asheville,W,102,77
2,11/12/2021,Morehead State,W,85,71
3,11/14/2021,Rhodes,W,98,61
4,11/18/2021,South Carolina,L,63,66
5,11/21/2021,Alabama A&M,W,86,41
6,11/25/2021,New Mexico,W,86,73
7,11/26/2021,San Francisco,L,61,63
8,12/1/2021,ETSU,W,70,56
9,12/4/2021,Saint Louis,W,77,72
10,12/12/2021,Millsaps,W,103,29
11,12/14/2021,Grambling,W,79,61
12,12/18/2021,West Virginia,L,59,65
13,12/22/2021,Mississippi Valley State,W,100,58
14,12/30/2021,UTEP,W,75,62
15,1/1/2022,UTSA,W,87,59
16,1/6/2022,North Texas,W,69,63
17,1/8/2022,Rice,L,80,85
18,1/13/2022,Florida International,W,84,56
19,1/15/2022,Florida Atlantic,W,76,65
20,1/22/2022,Louisiana Tech,W,83,76
21,1/27/2022,Western Kentucky,W,68,65
22,1/29/2022,Marshall,L,81,84
23,2/5/2022,Middle Tennessee,W,97,75
24,2/10/2022,Southern Miss,W,84,63
25,2/13/2022,Old Dominion,L,72,81
26,2/17/2022,Rice,W,92,68
27,2/19/2022,North Texas,L,57,58
28,2/24/2022,UTSA,W,68,56
29,2/26/2022,UTEP,W,69,66
30,3/2/2022,Southern Miss,W,81,68
31,3/5/2022,Louisiana Tech,W,87,74
32,3/10/2022,Florida Atlantic,W,80,66
33,3/11/2022,Middle Tennessee,W,102,98
34,3/12/2022,Louisiana Tech,W,82,73
35,3/18/2022,Houston,L,68,82
