G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Central Connecticut,W,99,48
2,11/13/2021,Coppin State,W,89,54
3,11/17/2021,LIU,W,93,40
4,11/20/2021,Binghamton,W,87,63
5,11/24/2021,Auburn,W,115,109
6,11/25/2021,Michigan State,L,60,64
7,11/26/2021,VCU,W,70,63
8,11/30/2021,Maryland-Eastern Shore,W,72,63
9,12/4/2021,Grambling,W,88,59
10,12/8/2021,West Virginia,L,53,56
11,12/11/2021,St. Bonaventure,W,74,64
12,12/18/2021,Providence,L,53,57
13,12/21/2021,Marquette,W,78,70
14,1/8/2022,Seton Hall,L,87,90
15,1/12/2022,St. John's (NY),W,86,78
16,1/18/2022,Butler,W,76,59
17,1/20/2022,Butler,W,75,56
18,1/25/2022,Georgetown,W,96,73
19,1/29/2022,DePaul,W,57,50
20,2/1/2022,Creighton,L,55,59
21,2/5/2022,Villanova,L,74,85
22,2/8/2022,Marquette,W,80,72
23,2/11/2022,Xavier,L,68,74
24,2/13/2022,St. John's (NY),W,63,60
25,2/16/2022,Seton Hall,W,70,65
26,2/19/2022,Xavier,W,72,61
27,2/22/2022,Villanova,W,71,69
28,2/27/2022,Georgetown,W,86,77
29,3/2/2022,Creighton,L,62,64
30,3/5/2022,DePaul,W,75,68
31,3/10/2022,Seton Hall,W,62,52
32,3/11/2022,Villanova,L,60,63
33,3/17/2022,New Mexico State,L,63,70
