G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,UC-Davis,L,69,72
2,11/12/2021,Richmond,W,85,74
3,11/18/2021,Penn,W,87,79
4,11/19/2021,New Mexico State,W,85,58
5,11/21/2021,Oklahoma,W,73,70
6,11/27/2021,UT Arlington,W,80,61
7,11/29/2021,Carroll (MT),W,93,63
8,12/2/2021,Saint Mary's,L,58,60
9,12/8/2021,BYU,L,71,82
10,12/11/2021,New Orleans,W,82,50
11,12/15/2021,Weber State,W,95,80
12,12/18/2021,Iowa,L,75,94
13,12/21/2021,Portland State,W,81,62
14,12/29/2021,Air Force,L,47,49
15,1/8/2022,New Mexico,W,90,87
16,1/12/2022,Colorado State,L,72,77
17,1/15/2022,Wyoming,L,69,71
18,1/18/2022,Fresno State,L,54,61
19,1/20/2022,Boise State,L,59,62
20,1/26/2022,San Diego State,W,75,57
21,1/29/2022,Nevada,W,78,49
22,2/1/2022,Air Force,W,73,46
23,2/3/2022,San Jose State,W,78,62
24,2/5/2022,UNLV,W,90,75
25,2/8/2022,Wyoming,L,76,78
26,2/11/2022,Nevada,L,72,85
27,2/15/2022,San Diego State,L,56,75
28,2/19/2022,Boise State,L,57,68
29,2/22/2022,New Mexico,W,81,56
30,2/26/2022,Colorado State,L,55,66
31,3/4/2022,San Jose State,W,75,52
32,3/9/2022,Air Force,W,83,56
33,3/10/2022,Colorado State,L,51,53
34,3/15/2022,Oregon,L,72,83
