G,Date,Opponent,W/L,Tm,Opp
1,2021-11-11,Northern Iowa,W,71,57
2,2021-11-13,Maryland,L,57,68
3,2021-11-16,Worcester Tech,W,81,48
4,2021-11-19,Yale,W,61,53
5,2021-11-22,Oakland,L,61,63
6,2021-11-23,Evansville,W,58,49
7,2021-11-24,Appalachian State,W,65,63
8,2021-11-27,UNC Greensboro,L,51,54
9,2021-12-01,Dartmouth,W,83,65
10,2021-12-07,Providence,L,58,68
11,2021-12-10,Brown,W,70,65
12,2021-12-22,Colgate,W,78,68
13,2022-01-06,New Hampshire,W,82,68
14,2022-01-12,Stony Brook,W,98,65
15,2022-01-15,UMBC,W,86,69
16,2022-01-19,NJIT,W,83,57
17,2022-01-22,Hartford,W,82,72
18,2022-01-26,Stony Brook,W,80,67
19,2022-01-29,Maine,W,81,68
20,2022-01-31,Albany (NY),W,73,61
21,2022-02-02,NJIT,W,90,67
22,2022-02-05,UMass-Lowell,W,78,67
23,2022-02-09,Binghamton,W,82,51
24,2022-02-12,Albany (NY),W,76,63
25,2022-02-14,Hartford,L,74,75
26,2022-02-16,New Hampshire,W,71,50
27,2022-02-19,UMBC,W,86,59
28,2022-02-23,Binghamton,W,66,49
29,2022-02-26,UMass-Lowell,W,62,61
30,2022-03-01,Maine,W,75,56
31,2022-03-06,NJIT,W,98,59
32,2022-03-09,Binghamton,W,74,42
33,2022-03-12,UMBC,W,82,43
34,2022-03-17,Arkansas,L,71,75
