G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Navy,L,58,66
2,11/12/2021,Radford,W,73,52
3,11/16/2021,Houston,L,47,67
4,11/19/2021,Coppin State,W,68,52
5,11/22/2021,Georgia,W,65,55
6,11/23/2021,Providence,W,58,40
7,11/26/2021,Lehigh,W,61,43
8,11/29/2021,Iowa,L,74,75
9,12/3/2021,Pitt,W,57,56
10,12/7/2021,James Madison,L,49,52
11,12/18/2021,FDU,W,82,49
12,12/22/2021,Clemson,L,50,67
13,1/1/2022,Syracuse,W,74,69
14,1/4/2022,Clemson,W,75,65
15,1/8/2022,UNC,L,58,74
16,1/12/2022,Virginia Tech,W,54,52
17,1/15/2022,Wake Forest,L,55,63
18,1/19/2022,Pitt,W,66,61
19,1/22/2022,NC State,L,63,77
20,1/24/2022,Louisville,W,64,52
21,1/29/2022,Notre Dame,L,65,69
22,2/1/2022,Boston College,W,67,55
23,2/5/2022,Miami (FL),W,71,58
24,2/7/2022,Duke,W,69,68
25,2/12/2022,Georgia Tech,W,63,53
26,2/14/2022,Virginia Tech,L,53,62
27,2/19/2022,Miami (FL),W,74,71
28,2/23/2022,Duke,L,61,65
29,2/26/2022,Florida State,L,63,64
30,3/5/2022,Louisville,W,71,61
31,3/9/2022,Louisville,W,51,50
32,3/10/2022,UNC,L,43,63
33,3/16/2022,Mississippi State,W,60,57
34,3/20/2022,North Texas,W,71,69
35,3/22/2022,St. Bonaventure,L,51,52
