G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,Hartford,W,77.0,59.0
2,2021-11-13,VCU,W,58.0,44.0
3,2021-12-01,Seton Hall,L,63.0,85.0
4,2021-12-04,Stony Brook,W,78.0,49.0
5,2021-12-08,Penn State,L,54.0,74.0
6,2021-12-16,Immaculata,W,104.0,46.0
7,2021-12-20,Delaware State,W,93.0,51.0
8,2021-12-23,Fairfield,W,63.0,50.0
9,2021-12-29,Saint Francis (PA),W,72.0,64.0
10,2021-12-31,Mount St. Mary's,,,
11,2022-01-06,Bryant,W,84.0,81.0
12,2022-01-08,Sacred Heart,,,
13,2022-01-15,St. Francis (NY),W,81.0,76.0
14,2022-01-17,FDU,W,95.0,64.0
15,2022-01-21,LIU,W,92.0,85.0
16,2022-01-23,Merrimack,W,71.0,57.0
17,2022-01-27,Saint Francis (PA),W,69.0,54.0
18,2022-01-30,St. Francis (NY),W,72.0,69.0
19,2022-02-03,Central Connecticut,W,54.0,52.0
20,2022-02-05,LIU,W,79.0,64.0
21,2022-02-10,Mount St. Mary's,W,69.0,57.0
22,2022-02-12,Merrimack,L,65.0,80.0
23,2022-02-17,Sacred Heart,W,76.0,67.0
24,2022-02-19,Central Connecticut,W,78.0,68.0
25,2022-02-24,FDU,L,86.0,88.0
26,2022-02-26,Bryant,L,70.0,78.0
27,2022-03-02,Saint Francis (PA),W,82.0,53.0
28,2022-03-05,LIU,W,82.0,62.0
29,2022-03-08,Bryant,L,43.0,70.0
