G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,Alcorn State,W,85,67
2,2021-11-12,Seattle,W,79,61
3,2021-11-15,UCSB,W,73,65
4,2021-11-18,Idaho,W,109,61
5,2021-11-22,Winthrop,W,92,86
6,2021-11-27,Eastern Washington,L,71,76
7,2021-12-01,Arizona State,W,51,29
8,2021-12-04,USC,L,61,63
9,2021-12-08,Weber State,W,94,60
10,2021-12-11,South Dakota State,L,74,77
11,2021-12-15,New Mexico State,L,61,64
12,2021-12-18,Northern Colorado,W,82,56
13,2021-12-22,Boise State,L,52,58
14,2022-01-06,Colorado,L,78,83
15,2022-01-08,Utah,W,77,61
16,2022-01-13,Stanford,L,57,62
17,2022-01-15,California,W,65,57
18,2022-01-26,Utah,W,71,54
19,2022-01-30,Colorado,W,70,43
20,2022-02-03,Stanford,W,66,60
21,2022-02-05,California,W,68,64
22,2022-02-10,Arizona,L,60,72
23,2022-02-12,Arizona State,L,55,58
24,2022-02-14,Oregon,L,59,62
25,2022-02-17,UCLA,L,56,76
26,2022-02-20,USC,L,60,62
27,2022-02-23,Washington,W,78,70
28,2022-02-26,Washington,L,70,78
29,2022-02-28,Oregon State,W,103,97
30,2022-03-03,Oregon State,W,71,67
31,2022-03-05,Oregon,W,94,74
32,2022-03-09,California,W,66,59
33,2022-03-10,UCLA,L,65,75
34,2022-03-15,Santa Clara,W,63,50
35,2022-03-20,SMU,W,75,63
36,2022-03-23,BYU,W,77,58
37,2022-03-29,Texas A&M,L,56,72
