G,Date,Opponent,W/L,Tm,Opp
1,2021-11-09,Alabama State,W,79,74
2,2021-11-12,Minnesota,L,69,73
3,2021-11-14,South Carolina,L,64,75
4,2021-11-19,Memphis,L,62,74
5,2021-11-24,Alabama A&M,W,88,62
6,2021-11-27,UT-Martin,W,81,66
7,2021-11-30,Rhodes,W,105,35
8,2021-12-04,Eastern Kentucky,W,85,80
9,2021-12-08,Buffalo,L,67,77
10,2021-12-11,Ole Miss,W,71,48
11,2021-12-14,Centre (KY),W,90,52
12,2021-12-18,Louisville,W,82,72
13,2021-12-22,Kentucky,L,60,95
14,2022-01-01,Louisiana Tech,L,73,74
15,2022-01-08,Florida International,W,84,71
16,2022-01-13,Rice,W,80,66
17,2022-01-15,North Texas,L,60,65
18,2022-01-20,Florida Atlantic,L,69,78
19,2022-01-22,Florida International,L,83,86
20,2022-01-27,UAB,L,65,68
21,2022-01-29,Middle Tennessee,L,85,93
22,2022-02-03,Charlotte,W,78,59
23,2022-02-05,Old Dominion,W,77,60
24,2022-02-10,Florida Atlantic,W,76,69
25,2022-02-12,UTSA,W,71,65
26,2022-02-14,Southern Miss,W,87,77
27,2022-02-17,Charlotte,W,77,67
28,2022-02-19,Old Dominion,W,73,64
29,2022-02-26,Middle Tennessee,L,52,69
30,2022-03-02,Marshall,W,86,72
31,2022-03-05,Marshall,W,78,69
32,2022-03-10,Louisiana Tech,L,57,59
