G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,St. Francis (NY),W,81,58
2,11/12/2021,Green Bay,W,72,34
3,11/15/2021,Providence,L,58,63
4,11/22/2021,Texas A&M,W,69,58
5,11/23/2021,Houston,W,65,63
6,11/24/2021,Saint Mary's,W,61,55
7,12/1/2021,Georgia Tech,W,70,66
8,12/4/2021,Marquette,W,89,76
9,12/8/2021,Indiana,W,64,59
10,12/11/2021,Ohio State,L,55,73
11,12/15/2021,Nicholls State,W,71,68
12,12/29/2021,Illinois State,W,89,85
13,1/3/2022,Purdue,W,74,69
14,1/6/2022,Iowa,W,87,78
15,1/9/2022,Maryland,W,70,69
16,1/13/2022,Ohio State,W,78,68
17,1/18/2022,Northwestern,W,82,76
18,1/21/2022,Michigan State,L,74,86
19,1/27/2022,Nebraska,W,73,65
20,1/30/2022,Minnesota,W,66,60
21,2/2/2022,Illinois,L,67,80
22,2/5/2022,Penn State,W,51,49
23,2/8/2022,Michigan State,W,70,62
24,2/12/2022,Rutgers,L,65,73
25,2/15/2022,Indiana,W,74,69
26,2/20/2022,Michigan,W,77,63
27,2/23/2022,Minnesota,W,68,67
28,2/26/2022,Rutgers,W,66,61
29,3/1/2022,Purdue,W,70,67
30,3/6/2022,Nebraska,L,73,74
31,3/11/2022,Michigan State,L,63,69
32,3/18/2022,Colgate,W,67,60
33,3/20/2022,Iowa State,L,49,54
