G,Date,Opponent,W/L,Tm,Opp
1,11/9/2021,Vassar,W,88,42
2,11/12/2021,UMass,W,91,71
3,11/14/2021,Seton Hall,L,44,80
4,11/16/2021,Siena,W,82,54
5,11/19/2021,Vermont,L,53,61
6,11/23/2021,Southern Utah,L,85,88
7,11/24/2021,Milwaukee,W,69,56
8,11/28/2021,Stony Brook,L,81,85
9,12/1/2021,Lehigh,W,82,72
10,12/4/2021,Auburn,L,64,86
11,12/7/2021,Albany (NY),W,71,52
12,12/12/2021,Iona,L,77,91
13,12/14/2021,Monmouth,L,60,69
14,12/28/2021,Saint Mary's,L,60,87
15,1/15/2022,Cornell,W,96,69
16,1/17/2022,Brown,W,66,63
17,1/22/2022,Penn,L,68,76
18,1/25/2022,Columbia,W,83,72
19,1/29/2022,Princeton,W,80,74
20,2/4/2022,Dartmouth,W,72,69
21,2/5/2022,Harvard,W,58,55
22,2/9/2022,Harvard,W,62,59
23,2/12/2022,Columbia,W,84,59
24,2/18/2022,Penn,W,81,72
25,2/19/2022,Princeton,L,75,81
26,2/22/2022,Dartmouth,W,66,61
27,2/26/2022,Cornell,L,65,71
28,3/5/2022,Brown,W,74,65
29,3/12/2022,Penn,W,67,61
30,3/13/2022,Princeton,W,66,64
31,3/18/2022,Purdue,L,56,78
