G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,South Dakota State,W,81,80
2,11/11/2022,Mississippi State,L,54,73
3,11/15/2022,Morgan State,W,65,59
4,11/21/2022,Western Kentucky,W,72,53
5,11/22/2022,LSU,L,58,73
6,11/23/2022,Nevada,L,58,62
7,11/30/2022,Marshall,L,57,68
8,12/4/2022,Muskingum,W,80,33
9,12/11/2022,Jackson State,W,85,72
10,12/14/2022,Wright State,W,66,54
11,12/19/2022,Maine,W,87,55
12,12/22/2022,Bradley,L,55,74
13,12/30/2022,Concord,W,84,58
14,1/3/2023,Northern Illinois,W,76,51
15,1/6/2023,Ball State,L,63,70
16,1/10/2023,Bowling Green State,W,74,70
17,1/13/2023,Eastern Michigan,W,104,67
18,1/17/2023,Central Michigan,W,69,51
19,1/21/2023,Western Michigan,W,63,55
20,1/24/2023,Miami (OH),W,73,68
21,1/28/2023,Ohio,W,83,77
22,1/31/2023,Buffalo,W,81,64
23,2/3/2023,Kent State,W,67,55
24,2/7/2023,Toledo,L,74,84
25,2/10/2023,Ohio,L,81,90
26,2/14/2023,Eastern Michigan,W,78,51
27,2/18/2023,Buffalo,W,86,66
28,2/21/2023,Toledo,L,63,84
29,2/25/2023,Western Michigan,W,81,64
30,2/28/2023,Ball State,W,87,83
31,3/3/2023,Kent State,L,84,89
32,3/9/2023,Buffalo,W,101,77
33,3/10/2023,Kent State,L,73,79
