G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Longwood,W,75,54
2,11/11/2022,Liberty,W,95,59
3,11/15/2022,South Alabama,W,65,55
4,11/18/2022,Jacksonville State,W,104,62
5,11/24/2022,Michigan State,W,81,70
6,11/25/2022,UConn,L,67,82
7,11/27/2022,UNC,W,103,101
8,12/3/2022,South Dakota State,W,78,65
9,12/10/2022,Houston,W,71,65
10,12/13/2022,Memphis,W,91,88
11,12/17/2022,Gonzaga,L,90,100
12,12/20/2022,Jackson State,W,84,64
13,12/28/2022,Mississippi State,W,78,67
14,1/3/2023,Ole Miss,W,84,62
15,1/7/2023,Kentucky,W,78,52
16,1/11/2023,Arkansas,W,84,69
17,1/14/2023,LSU,W,106,66
18,1/17/2023,Vanderbilt,W,78,66
19,1/21/2023,Missouri,W,85,64
20,1/25/2023,Mississippi State,W,66,63
21,1/28/2023,Oklahoma,L,69,93
22,1/31/2023,Vanderbilt,W,101,44
23,2/4/2023,LSU,W,79,69
24,2/8/2023,Florida,W,97,69
25,2/11/2023,Auburn,W,77,69
26,2/15/2023,Tennessee,L,59,68
27,2/18/2023,Georgia,W,108,59
28,2/22/2023,South Carolina,W,78,76
29,2/25/2023,Arkansas,W,86,83
30,3/1/2023,Auburn,W,90,85
31,3/4/2023,Texas A&M,L,61,67
32,3/10/2023,Mississippi State,W,72,49
33,3/11/2023,Missouri,W,72,61
34,3/12/2023,Texas A&M,W,82,63
35,3/16/2023,Texas A&M-Corpus Christi,W,96,75
36,3/18/2023,Maryland,W,73,51
37,3/24/2023,San Diego State,L,64,71
