G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Nicholls State,W,117,75
2,11/11/2022,Southern,W,95,78
3,11/17/2022,Utah Tech,W,104,77
4,11/21/2022,Cincinnati,W,101,93
5,11/22/2022,San Diego State,W,87,70
6,11/23/2022,Creighton,W,81,79
7,12/1/2022,Utah,L,66,81
8,12/4/2022,California,W,81,68
9,12/10/2022,Indiana,W,89,75
10,12/13/2022,Texas A&M-Corpus Christi,W,99,61
11,12/17/2022,Tennessee,W,75,70
12,12/20/2022,Montana State,W,85,64
13,12/22/2022,Morgan State,W,93,68
14,12/31/2022,Arizona State,W,69,60
15,1/5/2023,Washington,W,70,67
16,1/7/2023,Washington State,L,61,74
17,1/12/2023,Oregon State,W,86,74
18,1/14/2023,Oregon,L,68,87
19,1/19/2023,USC,W,81,66
20,1/21/2023,UCLA,W,58,52
21,1/26/2023,Washington State,W,63,58
22,1/28/2023,Washington,W,95,72
23,2/2/2023,Oregon,W,91,76
24,2/4/2023,Oregon State,W,84,52
25,2/9/2023,California,W,85,62
26,2/11/2023,Stanford,L,79,88
27,2/16/2023,Utah,W,88,62
28,2/18/2023,Colorado,W,78,68
29,2/25/2023,Arizona State,L,88,89
30,3/2/2023,USC,W,87,81
31,3/4/2023,UCLA,L,73,82
32,3/9/2023,Stanford,W,95,84
33,3/10/2023,Arizona State,W,78,59
34,3/11/2023,UCLA,W,61,59
35,3/16/2023,Princeton,L,55,59
