G,Date,Opponent,W/L,Tm,Opp
1,2022-11-07,George Mason,W,70,52
2,2022-11-11,South Florida,W,67,59
3,2022-11-15,Winthrop,W,89,65
4,2022-11-18,Texas Southern,W,72,56
5,2022-11-22,Bradley,W,85,64
6,2022-11-23,Northwestern,W,43,42
7,2022-11-27,Saint Louis,W,65,60
8,2022-12-02,Colgate,W,93,66
9,2022-12-10,Memphis,L,73,82
10,2022-12-14,Georgia State,W,72,64
11,2022-12-18,USC,L,71,74
12,2022-12-21,Washington,W,84,61
13,2022-12-28,Florida,W,61,58
14,2023-01-04,Georgia,L,64,76
15,2023-01-07,Arkansas,W,72,59
16,2023-01-10,Ole Miss,W,82,73
17,2023-01-14,Mississippi State,W,69,63
18,2023-01-18,LSU,W,67,49
19,2023-01-21,South Carolina,W,81,66
20,2023-01-25,Texas A&M,L,63,79
21,2023-01-28,West Virginia,L,77,80
22,2023-02-01,Georgia,W,94,73
23,2023-02-04,Tennessee,L,43,46
24,2023-02-07,Texas A&M,L,78,83
25,2023-02-11,Alabama,L,69,77
26,2023-02-14,Missouri,W,89,56
27,2023-02-18,Vanderbilt,L,65,67
28,2023-02-22,Ole Miss,W,78,74
29,2023-02-25,Kentucky,L,54,86
30,2023-03-01,Alabama,L,85,90
31,2023-03-04,Tennessee,W,79,70
32,2023-03-09,Arkansas,L,73,76
33,2023-03-16,Iowa,W,83,75
34,2023-03-18,Houston,L,64,81
