G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Idaho State,W,60,56
2,11/11/2022,San Diego State,L,75,82
3,11/16/2022,Missouri State,W,66,64
4,11/19/2022,Nicholls State,W,87,73
5,11/23/2022,USC,L,76,82
6,11/24/2022,Butler,L,70,75
7,11/25/2022,Dayton,W,79,75
8,11/29/2022,Westminster (UT),W,100,70
9,12/3/2022,South Dakota,L,68,69
10,12/7/2022,Utah Valley,L,60,75
11,12/10/2022,Creighton,W,83,80
12,12/15/2022,Western Oregon,W,97,64
13,12/17/2022,Utah,W,75,66
14,12/20/2022,Lindenwood,W,90,61
15,12/22/2022,Weber State,W,63,57
16,12/29/2022,Pacific,W,69,49
17,12/31/2022,Portland,W,71,58
18,1/5/2023,Loyola Marymount,L,59,64
19,1/7/2023,San Diego,W,68,48
20,1/12/2023,Gonzaga,L,74,75
21,1/14/2023,Pepperdine,W,91,81
22,1/19/2023,Santa Clara,L,76,83
23,1/21/2023,San Francisco,L,74,82
24,1/28/2023,Saint Mary's,L,56,57
25,2/2/2023,Loyola Marymount,W,89,61
26,2/4/2023,Pacific,W,81,66
27,2/9/2023,Pepperdine,L,80,92
28,2/11/2023,Gonzaga,L,81,88
29,2/16/2023,Santa Clara,L,74,81
30,2/18/2023,Saint Mary's,L,65,71
31,2/25/2023,San Francisco,W,87,61
32,3/3/2023,Portland,W,82,71
33,3/4/2023,Loyola Marymount,W,73,63
34,3/6/2023,Saint Mary's,L,69,76
