G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Mississippi Valley State,W,117,53
2,11/11/2022,Norfolk State,W,87,70
3,11/14/2022,Northern Colorado,W,95,62
4,11/18/2022,Virginia,L,79,86
5,11/20/2022,UCLA,W,80,75
6,11/23/2022,McNeese State,W,89,60
7,11/29/2022,Marquette,L,70,96
8,12/2/2022,Gonzaga,W,64,63
9,12/6/2022,Tarleton State,W,80,57
10,12/18/2022,Washington State,W,65,59
11,12/20/2022,Northwestern State,W,58,48
12,12/28/2022,Nicholls State,W,85,56
13,12/31/2022,Iowa State,L,62,77
14,1/4/2023,TCU,L,87,88
15,1/7/2023,Kansas State,L,95,97
16,1/11/2023,West Virginia,W,83,78
17,1/14/2023,Oklahoma State,W,74,58
18,1/17/2023,Texas Tech,W,81,74
19,1/21/2023,Oklahoma,W,62,60
20,1/23/2023,Kansas,W,75,69
21,1/28/2023,Arkansas,W,67,64
22,1/30/2023,Texas,L,71,76
23,2/4/2023,Texas Tech,W,89,62
24,2/8/2023,Oklahoma,W,82,72
25,2/11/2023,TCU,W,72,68
26,2/13/2023,West Virginia,W,79,67
27,2/18/2023,Kansas,L,71,87
28,2/21/2023,Kansas State,L,65,75
29,2/25/2023,Texas,W,81,72
30,2/27/2023,Oklahoma State,W,74,68
31,3/4/2023,Iowa State,L,58,73
32,3/9/2023,Iowa State,L,72,78
33,3/17/2023,UCSB,W,74,56
34,3/19/2023,Creighton,L,76,85
