G,Date,Opponent,W/L,Tm,Opp
1,11/9/2022,South Dakota State,L,66,68
2,11/12/2022,Washington State,W,71,61
3,11/17/2022,Charlotte,L,42,54
4,11/18/2022,Loyola (IL),W,70,48
5,11/20/2022,Colorado,W,68,55
6,11/26/2022,Utah Valley,W,87,69
7,11/29/2022,Cal State Northridge,W,55,46
8,12/3/2022,Texas A&M,W,86,71
9,12/6/2022,Eastern Oregon,W,90,54
10,12/10/2022,Saint Louis,W,57,52
11,12/13/2022,New Orleans,W,91,50
12,12/18/2022,Oakland,W,77,57
13,12/22/2022,Santa Clara,L,58,73
14,12/28/2022,Nevada,L,72,74
15,1/3/2023,San Jose State,W,67,64
16,1/7/2023,Utah State,W,82,59
17,1/11/2023,UNLV,W,84,66
18,1/14/2023,Wyoming,W,85,68
19,1/17/2023,Nevada,W,77,62
20,1/20/2023,New Mexico,L,79,81
21,1/24/2023,Fresno State,W,63,53
22,1/28/2023,Colorado State,W,80,59
23,1/31/2023,Air Force,W,59,52
24,2/3/2023,San Diego State,L,52,72
25,2/11/2023,Wyoming,W,75,63
26,2/15/2023,Colorado State,W,80,78
27,2/19/2023,UNLV,W,73,69
28,2/22/2023,New Mexico,W,82,77
29,2/25/2023,San Jose State,L,68,74
30,2/28/2023,San Diego State,W,66,60
31,3/4/2023,Utah State,L,73,86
32,3/9/2023,UNLV,W,87,76
33,3/10/2023,Utah State,L,62,72
34,3/16/2023,Northwestern,L,67,75
