G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Buffalo,L,87,88
2,11/10/2022,Brown,W,77,68
3,11/13/2022,Wells,W,93,60
4,11/15/2022,Syracuse,W,80,68
5,11/18/2022,Duquesne,L,80,85
6,11/21/2022,Monmouth,W,85,66
7,11/25/2022,Delaware,L,68,72
8,11/26/2022,Penn,L,69,81
9,11/27/2022,Hartford,W,92,58
10,12/2/2022,Auburn,L,66,93
11,12/7/2022,Binghamton,W,81,62
12,12/10/2022,Vermont,L,72,73
13,12/22/2022,Cornell,L,80,91
14,12/30/2022,Loyola (MD),W,101,67
15,1/2/2023,Lehigh,W,76,60
16,1/5/2023,Navy,W,87,73
17,1/9/2023,Army,W,77,75
18,1/11/2023,Boston University,W,77,71
19,1/14/2023,Bucknell,W,71,65
20,1/18/2023,Holy Cross,W,77,71
21,1/21/2023,American,W,62,61
22,1/23/2023,Boston University,W,64,51
23,1/28/2023,Lafayette,W,69,57
24,1/30/2023,Loyola (MD),W,76,63
25,2/4/2023,American,L,60,61
26,2/8/2023,Lehigh,W,81,53
27,2/11/2023,Bucknell,W,76,56
28,2/15/2023,Army,W,93,86
29,2/18/2023,Holy Cross,W,96,73
30,2/22/2023,Lafayette,W,73,69
31,2/25/2023,Navy,W,64,60
32,3/2/2023,Loyola (MD),W,92,73
33,3/5/2023,Army,W,91,74
34,3/8/2023,Lafayette,W,79,61
35,3/16/2023,Texas,L,61,81
