G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,UC-Riverside,W,82,66
2,11/11/2022,Grambling,L,74,83
3,11/13/2022,Tennessee,W,78,66
4,11/17/2022,UMass,L,63,66
5,11/18/2022,Texas A&M,W,103,75
6,11/20/2022,Boise State,L,55,68
7,11/27/2022,Yale,W,65,62
8,12/1/2022,Arizona State,L,59,60
9,12/4/2022,Washington,L,63,73
10,12/8/2022,Colorado State,W,93,65
11,12/15/2022,North Alabama,W,84,60
12,12/18/2022,Northern Colorado,W,88,77
13,12/21/2022,Southern Utah,W,86,78
14,12/29/2022,Stanford,W,73,70
15,12/31/2022,California,L,76,80
16,1/5/2023,Oregon,W,68,41
17,1/7/2023,Oregon State,W,62,42
18,1/12/2023,USC,L,61,68
19,1/14/2023,UCLA,L,54,68
20,1/19/2023,Washington,L,72,75
21,1/22/2023,Washington State,W,58,55
22,1/26/2023,Oregon,L,69,75
23,1/28/2023,Oregon State,L,52,60
24,2/2/2023,California,W,59,46
25,2/5/2023,Stanford,W,84,62
26,2/11/2023,Utah,L,62,73
27,2/16/2023,Arizona State,W,67,59
28,2/18/2023,Arizona,L,68,78
29,2/23/2023,USC,L,65,84
30,2/26/2023,UCLA,L,56,60
31,3/4/2023,Utah,W,69,60
32,3/8/2023,Washington,W,74,68
33,3/9/2023,UCLA,L,69,80
34,3/14/2023,Seton Hall,W,65,64
35,3/19/2023,Utah Valley,L,69,81
