G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,St. Thomas,W,72,60
2,11/10/2022,North Dakota,W,96,61
3,11/14/2022,Holy Cross,W,94,65
4,11/17/2022,UC-Riverside,W,80,51
5,11/21/2022,Texas Tech,W,76,65
6,11/22/2022,Arkansas,W,90,87
7,11/23/2022,Arizona,L,79,81
8,12/1/2022,Texas,L,67,72
9,12/4/2022,Nebraska,L,53,63
10,12/10/2022,BYU,L,80,83
11,12/12/2022,Arizona State,L,71,73
12,12/16/2022,Marquette,L,58,69
13,12/22/2022,Butler,W,78,56
14,12/25/2022,DePaul,W,80,65
15,1/3/2023,Seton Hall,W,83,61
16,1/7/2023,UConn,L,60,69
17,1/11/2023,Xavier,L,87,90
18,1/14/2023,Providence,W,73,67
19,1/17/2023,Butler,W,73,52
20,1/25/2023,St. John's (NY),W,104,76
21,1/28/2023,Xavier,W,84,67
22,2/1/2023,Georgetown,W,63,53
23,2/4/2023,Villanova,W,66,61
24,2/8/2023,Seton Hall,W,75,62
25,2/11/2023,UConn,W,56,53
26,2/14/2023,Providence,L,86,94
27,2/18/2023,St. John's (NY),W,77,67
28,2/21/2023,Marquette,L,71,73
29,2/25/2023,Villanova,L,67,79
30,3/1/2023,Georgetown,W,99,59
31,3/4/2023,DePaul,W,84,70
32,3/9/2023,Villanova,W,87,74
33,3/10/2023,Xavier,L,60,82
34,3/17/2023,NC State,W,72,63
35,3/19/2023,Baylor,W,85,76
36,3/24/2023,Princeton,W,86,75
37,3/26/2023,San Diego State,L,56,57
