G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Jacksonville,W,71,44
2,11/11/2022,USC Upstate,W,84,38
3,11/15/2022,Kansas,L,64,69
4,11/18/2022,Delaware,W,92,58
5,11/21/2022,Bellarmine,W,74,57
6,11/24/2022,Oregon State,W,54,51
7,11/25/2022,Xavier,W,71,64
8,11/27/2022,Purdue,L,56,75
9,11/30/2022,Ohio State,W,81,72
10,12/3/2022,Boston College,W,75,59
11,12/6/2022,Iowa,W,74,62
12,12/10/2022,Maryland-Eastern Shore,W,82,55
13,12/20/2022,Wake Forest,L,70,81
14,12/31/2022,Florida State,W,86,67
15,1/4/2023,NC State,L,60,84
16,1/7/2023,Boston College,W,65,64
17,1/11/2023,Pitt,W,77,69
18,1/14/2023,Clemson,L,64,72
19,1/21/2023,Miami (FL),W,68,66
20,1/23/2023,Virginia Tech,L,75,78
21,1/28/2023,Georgia Tech,W,86,43
22,1/31/2023,Wake Forest,W,75,73
23,2/4/2023,UNC,W,63,57
24,2/6/2023,Miami (FL),L,59,81
25,2/11/2023,Virginia,L,62,69
26,2/14/2023,Notre Dame,W,68,64
27,2/18/2023,Syracuse,W,77,55
28,2/20/2023,Louisville,W,79,62
29,2/25/2023,Virginia Tech,W,81,65
30,2/28/2023,NC State,W,71,67
31,3/4/2023,UNC,W,62,57
32,3/9/2023,Pitt,W,96,69
33,3/10/2023,Miami (FL),W,85,78
34,3/11/2023,Virginia,W,59,49
35,3/16/2023,Oral Roberts,W,74,51
36,3/18/2023,Tennessee,L,52,65
