G,Date,Opponent,W/L,Tm,Opp
1,11/8/2022,Montana,W,91,63
2,11/11/2022,Kentucky,L,52,77
3,11/14/2022,South Carolina State,W,96,71
4,11/18/2022,Colgate,W,85,80
5,11/21/2022,North Florida,W,83,82
6,11/23/2022,Alabama State,W,75,57
7,11/29/2022,UCSB,W,72,61
8,12/3/2022,Ball State,W,78,77
9,12/8/2022,Marshall,L,71,82
10,12/11/2022,New Mexico State,L,60,73
11,12/14/2022,DePaul,W,66,55
12,12/17/2022,Indiana State,W,92,86
13,12/21/2022,Winthrop,W,74,57
14,12/28/2022,Dayton,L,57,69
15,12/31/2022,Rhode Island,W,72,61
16,1/4/2023,VCU,W,79,70
17,1/7/2023,Richmond,L,73,75
18,1/11/2023,St. Joseph's,W,92,80
19,1/18/2023,St. Bonaventure,L,56,65
20,1/21/2023,Fordham,L,58,65
21,1/25/2023,Loyola (IL),W,72,58
22,1/28/2023,UMass,L,79,87
23,2/4/2023,George Washington,W,93,67
24,2/8/2023,George Mason,W,75,52
25,2/11/2023,St. Bonaventure,W,56,54
26,2/15/2023,St. Joseph's,W,76,62
27,2/18/2023,Saint Louis,L,85,90
28,2/22/2023,La Salle,W,91,74
29,2/26/2023,Davidson,L,67,71
30,3/1/2023,UMass,W,88,79
31,3/4/2023,Fordham,L,60,87
32,3/8/2023,La Salle,L,70,81
33,3/19/2023,Rice,L,78,84
