G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Lynn,W,81,46
2,11/11/2022,Ole Miss,L,67,80
3,11/14/2022,Florida,W,76,74
4,11/17/2022,Bryant,W,85,74
5,11/19/2022,Detroit Mercy,W,76,55
6,11/26/2022,Albany (NY),W,73,56
7,11/30/2022,South Alabama,W,84,59
8,12/4/2022,Eastern Michigan,W,101,73
9,12/7/2022,Florida Gulf Coast,W,85,53
10,12/14/2022,St. Thomas (FL),W,97,74
11,12/17/2022,Florida International,W,79,53
12,12/21/2022,Northern Kentucky,W,67,52
13,12/29/2022,North Texas,W,50,46
14,1/5/2023,UAB,W,88,86
15,1/7/2023,Charlotte,W,71,67
16,1/11/2023,Florida International,W,77,73
17,1/14/2023,North Texas,W,66,62
18,1/16/2023,Western Kentucky,W,76,62
19,1/19/2023,UTSA,W,83,64
20,1/21/2023,UTEP,W,67,59
21,1/26/2023,Middle Tennessee,W,85,67
22,1/28/2023,Western Kentucky,W,70,63
23,2/2/2023,UAB,L,77,86
24,2/4/2023,Charlotte,W,67,52
25,2/9/2023,Rice,W,90,81
26,2/11/2023,Louisiana Tech,W,90,85
27,2/16/2023,Middle Tennessee,L,70,74
28,2/23/2023,UTSA,W,106,66
29,2/25/2023,UTEP,W,75,49
30,3/2/2023,Rice,W,103,74
31,3/4/2023,Louisiana Tech,W,76,72
32,3/9/2023,Western Kentucky,W,75,51
33,3/10/2023,Middle Tennessee,W,68,65
34,3/11/2023,UAB,W,78,56
35,3/17/2023,Memphis,W,66,65
36,3/19/2023,FDU,W,78,70
37,3/23/2023,Tennessee,W,62,55
38,3/25/2023,Kansas State,W,79,76
39,4/1/2023,San Diego State,L,71,72
