G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Stony Brook,W,81,45
2,11/11/2022,Kennesaw State,W,88,78
3,11/14/2022,Florida Atlantic,L,74,76
4,11/18/2022,Florida State,W,76,67
5,11/24/2022,Xavier,L,83,90
6,11/25/2022,Oregon State,W,81,68
7,11/27/2022,West Virginia,L,55,84
8,11/30/2022,Florida A&M,W,102,62
9,12/4/2022,Stetson,W,89,51
10,12/7/2022,UConn,L,54,75
11,12/14/2022,Ohio,W,82,48
12,12/20/2022,Oklahoma,L,53,62
13,12/28/2022,Auburn,L,58,61
14,1/4/2023,Texas A&M,L,63,66
15,1/7/2023,Georgia,W,82,75
16,1/10/2023,LSU,W,67,56
17,1/14/2023,Missouri,W,73,64
18,1/18/2023,Texas A&M,L,52,54
19,1/21/2023,Mississippi State,W,61,59
20,1/25/2023,South Carolina,W,81,60
21,1/28/2023,Kansas State,L,50,64
22,2/1/2023,Tennessee,W,67,54
23,2/4/2023,Kentucky,L,67,72
24,2/8/2023,Alabama,L,69,97
25,2/11/2023,Vanderbilt,L,80,88
26,2/15/2023,Ole Miss,W,79,64
27,2/18/2023,Arkansas,L,65,84
28,2/22/2023,Kentucky,L,74,82
29,2/25/2023,Vanderbilt,L,72,88
30,2/28/2023,Georgia,W,77,67
31,3/4/2023,LSU,W,79,67
32,3/9/2023,Mississippi State,L,68,69
33,3/15/2023,UCF,L,49,67
