G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,North Florida,W,104,63
2,11/11/2022,Michigan State,W,64,63
3,11/16/2022,Texas,L,74,93
4,11/20/2022,Kentucky,W,88,72
5,11/25/2022,Portland State,W,102,78
6,11/25/2022,Purdue,L,66,84
7,11/27/2022,Xavier,W,88,84
8,12/2/2022,Baylor,L,63,64
9,12/5/2022,Kent State,W,73,66
10,12/9/2022,Washington,W,77,60
11,12/12/2022,Northern Illinois,W,88,67
12,12/17/2022,Alabama,W,100,90
13,12/20/2022,Montana,W,85,75
14,12/28/2022,Eastern Oregon,W,120,42
15,12/31/2022,Pepperdine,W,111,88
16,1/5/2023,San Francisco,W,77,75
17,1/7/2023,Santa Clara,W,81,76
18,1/12/2023,BYU,W,75,74
19,1/14/2023,Portland,W,115,75
20,1/19/2023,Loyola Marymount,L,67,68
21,1/21/2023,Pacific,W,99,90
22,1/28/2023,Portland,W,82,67
23,2/2/2023,Santa Clara,W,88,70
24,2/4/2023,Saint Mary's,L,70,78
25,2/9/2023,San Francisco,W,99,81
26,2/11/2023,BYU,W,88,81
27,2/16/2023,Loyola Marymount,W,108,65
28,2/18/2023,Pepperdine,W,97,88
29,2/23/2023,San Diego,W,97,72
30,2/25/2023,Saint Mary's,W,77,68
31,3/1/2023,Chicago State,W,104,65
32,3/6/2023,San Francisco,W,84,73
33,3/7/2023,Saint Mary's,W,77,51
34,3/17/2023,Grand Canyon,W,82,70
35,3/19/2023,TCU,W,84,81
36,3/23/2023,UCLA,W,79,76
37,3/25/2023,UConn,L,54,82
