G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,North Texas at Dallas,W,82,57
2,11/11/2022,Colorado,W,83,74
3,11/18/2022,Grand Canyon,L,48,81
4,11/22/2022,Arizona State,L,49,80
5,11/25/2022,UTSA,W,75,55
6,11/27/2022,Incarnate Word,L,61,63
7,11/28/2022,Dartmouth,W,73,49
8,12/3/2022,Incarnate Word,W,72,39
9,12/9/2022,Vanderbilt,W,64,62
10,12/17/2022,Virginia Tech,L,48,74
11,12/19/2022,Liberty,L,56,75
12,12/23/2022,Wisconsin,,,
13,12/29/2022,North American,W,101,42
14,1/2/2023,Prairie View,L,60,61
15,1/4/2023,Texas Southern,W,85,72
16,1/7/2023,Bethune-Cookman,W,76,70
17,1/9/2023,Florida A&M,W,62,57
18,1/14/2023,Southern,L,73,81
19,1/21/2023,Mississippi Valley State,W,65,61
20,1/23/2023,Arkansas-Pine Bluff,W,77,70
21,1/28/2023,Jackson State,W,78,66
22,1/30/2023,Alcorn State,L,60,63
23,2/4/2023,Alabama State,W,73,60
24,2/6/2023,Alabama A&M,W,66,60
25,2/11/2023,Texas Southern,W,65,46
26,2/13/2023,Prairie View,W,68,64
27,2/18/2023,Southern,W,69,64
28,2/25/2023,Florida A&M,W,69,55
29,2/27/2023,Bethune-Cookman,W,66,54
30,3/2/2023,Alabama A&M,W,60,48
31,3/4/2023,Alabama State,W,69,49
32,3/8/2023,Bethune-Cookman,W,87,72
33,3/10/2023,Jackson State,W,78,69
34,3/11/2023,Texas Southern,L,58,61
