G,Date,Opponent,W/L,Tm,Opp
1,2022-11-07,Northern Colorado,W,83,36
2,2022-11-11,St. Joseph's,W,81,55
3,2022-11-14,Oral Roberts,W,83,45
4,2022-11-16,Texas Southern,W,83,48
5,2022-11-20,Oregon,W,66,56
6,2022-11-26,Kent State,W,49,44
7,2022-11-29,Norfolk State,W,100,52
8,2022-12-03,Saint Mary's,W,53,48
9,2022-12-06,North Florida,W,76,42
10,2022-12-10,Alabama,L,65,71
11,2022-12-13,North Carolina A&T,W,74,46
12,2022-12-17,Virginia,W,69,61
13,2022-12-21,McNeese State,W,83,44
14,2022-12-28,Tulsa,W,89,50
15,2022-12-31,UCF,W,71,65
16,2023-01-05,SMU,W,87,53
17,2023-01-08,Cincinnati,W,72,59
18,2023-01-11,South Florida,W,83,77
19,2023-01-17,Tulane,W,80,60
20,2023-01-22,Temple,L,55,56
21,2023-01-25,UCF,W,82,71
22,2023-01-28,Cincinnati,W,75,69
23,2023-02-02,Wichita State,W,70,61
24,2023-02-05,Temple,W,81,65
25,2023-02-08,Tulsa,W,80,42
26,2023-02-16,SMU,W,80,65
27,2023-02-19,Memphis,W,72,64
28,2023-02-22,Tulane,W,89,59
29,2023-02-25,East Carolina,W,76,57
30,2023-03-02,Wichita State,W,83,66
31,2023-03-05,Memphis,W,67,65
32,2023-03-10,East Carolina,W,60,46
33,2023-03-11,Cincinnati,W,69,48
34,2023-03-12,Memphis,L,65,75
35,2023-03-16,Northern Kentucky,W,63,52
36,2023-03-18,Auburn,W,81,64
37,2023-03-24,Miami (FL),L,75,89
