G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Kentucky,L,63,95
2,11/9/2022,District of Columbia,W,87,74
3,11/11/2022,George Washington,L,75,85
4,11/13/2022,Gallaudet,W,108,56
5,11/15/2022,James Madison,L,69,95
6,11/18/2022,Wyoming,L,71,78
7,11/19/2022,Buffalo,W,63,59
8,11/21/2022,Belmont,L,73,96
9,11/26/2022,Austin Peay,W,56,55
10,11/30/2022,Yale,L,40,86
11,12/3/2022,Hampton,L,65,74
12,12/11/2022,VCU,L,60,70
13,12/13/2022,Florida International,W,71,59
14,12/18/2022,Harvard,W,66,54
15,12/21/2022,Mount St. Mary's,W,63,62
16,12/29/2022,La Salle,L,76,80
17,1/7/2023,Delaware State,W,84,64
18,1/9/2023,Maryland-Eastern Shore,L,73,82
19,1/14/2023,Norfolk State,W,86,84
20,1/16/2023,Morehouse,W,89,65
21,1/21/2023,Morgan State,W,88,56
22,1/23/2023,Coppin State,W,90,76
23,1/28/2023,North Carolina Central,W,71,67
24,1/30/2023,South Carolina State,W,100,74
25,2/11/2023,Delaware State,W,86,85
26,2/13/2023,Maryland-Eastern Shore,W,78,69
27,2/18/2023,Coppin State,W,80,70
28,2/20/2023,Morgan State,L,76,89
29,2/25/2023,North Carolina Central,L,60,68
30,2/27/2023,South Carolina State,W,82,78
31,3/2/2023,Norfolk State,W,87,67
32,3/8/2023,South Carolina State,W,91,55
33,3/10/2023,Maryland-Eastern Shore,W,74,55
34,3/11/2023,Norfolk State,W,65,64
35,3/16/2023,Kansas,L,68,96
