G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,IU Indianapolis,W,88,39
2,11/13/2022,North Carolina A&T,W,80,43
3,11/20/2022,Milwaukee,W,68,53
4,11/24/2022,Villanova,W,81,79
5,11/25/2022,UNC,W,70,65
6,11/27/2022,UConn,L,53,71
7,11/30/2022,North Dakota,W,63,44
8,12/4/2022,St. John's (NY),W,71,60
9,12/8/2022,Iowa,L,56,75
10,12/11/2022,McNeese State,W,77,40
11,12/18/2022,Western Michigan,W,73,57
12,12/21/2022,Omaha,,,
13,12/31/2022,Baylor,W,77,62
14,1/4/2023,Oklahoma,W,63,60
15,1/7/2023,TCU,W,69,67
16,1/10/2023,Texas Tech,W,84,50
17,1/14/2023,Kansas,L,60,62
18,1/17/2023,Texas,W,78,67
19,1/21/2023,Oklahoma State,L,59,61
20,1/24/2023,Kansas State,W,80,76
21,1/28/2023,Missouri,L,61,78
22,1/30/2023,Texas Tech,L,77,80
23,2/4/2023,Kansas,W,68,53
24,2/8/2023,West Virginia,L,71,76
25,2/11/2023,Oklahoma State,L,56,64
26,2/15/2023,TCU,W,70,59
27,2/18/2023,Kansas State,L,55,61
28,2/21/2023,Texas,L,54,72
29,2/25/2023,Oklahoma,L,50,61
30,2/27/2023,West Virginia,L,69,72
31,3/4/2023,Baylor,W,73,58
32,3/9/2023,Baylor,W,78,72
33,3/10/2023,Kansas,L,58,71
34,3/17/2023,Pitt,L,41,59
