G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Valley Forge,W,123,38
2,11/9/2022,Hampton,W,106,58
3,11/12/2022,Buffalo,W,97,62
4,11/15/2022,Howard,W,95,69
5,11/20/2022,UNC,L,64,80
6,11/25/2022,Coastal Georgia,W,100,54
7,11/26/2022,South Dakota State,W,79,60
8,11/27/2022,Valparaiso,L,79,81
9,12/2/2022,Eastern Kentucky,W,97,80
10,12/6/2022,Virginia,L,50,55
11,12/10/2022,Gallaudet,W,106,43
12,12/18/2022,LIU,W,115,79
13,12/21/2022,Coppin State,L,100,107
14,12/29/2022,Georgia State,W,63,47
15,12/31/2022,Marshall,W,72,66
16,1/5/2023,Texas State,L,62,63
17,1/7/2023,Appalachian State,L,62,71
18,1/12/2023,South Alabama,L,62,63
19,1/14/2023,Georgia Southern,W,83,71
20,1/19/2023,Troy,W,89,87
21,1/21/2023,Southern Miss,L,70,83
22,1/26/2023,Coastal Carolina,W,75,69
23,1/28/2023,Louisiana-Monroe,W,58,45
24,2/2/2023,Old Dominion,W,78,73
25,2/4/2023,Appalachian State,L,63,57
26,2/9/2023,Georgia Southern,W,73,76
27,2/11/2023,Coastal Carolina,W,73,66
28,2/16/2023,Old Dominion,W,76,67
29,2/18/2023,Louisiana,L,74,68
30,2/22/2023,Marshall,W,83,92
31,2/24/2023,Georgia State,W,90,69
32,3/4/2023,Troy,L,75,72
33,3/5/2023,South Alabama,L,66,75
