G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Howard,W,95,63
2,11/11/2022,Duquesne,W,77,52
3,11/15/2022,Michigan State,L,77,86
4,11/17/2022,South Carolina State,W,106,63
5,11/20/2022,Gonzaga,L,72,88
6,11/23/2022,North Florida,W,96,56
7,11/29/2022,Bellarmine,W,60,41
8,12/4/2022,Michigan,W,73,69
9,12/10/2022,Yale,W,69,59
10,12/17/2022,UCLA,L,53,63
11,12/21/2022,Florida A&M,W,88,68
12,12/28/2022,Missouri,L,75,89
13,12/31/2022,Louisville,W,86,63
14,1/3/2023,LSU,W,74,71
15,1/7/2023,Alabama,L,52,78
16,1/10/2023,South Carolina,L,68,71
17,1/14/2023,Tennessee,W,63,56
18,1/17/2023,Georgia,W,85,71
19,1/21/2023,Texas A&M,W,76,67
20,1/24/2023,Vanderbilt,W,69,53
21,1/28/2023,Kansas,L,68,77
22,1/31/2023,Ole Miss,W,75,66
23,2/4/2023,Florida,W,72,67
24,2/7/2023,Arkansas,L,73,88
25,2/11/2023,Georgia,L,68,75
26,2/15/2023,Mississippi State,W,71,68
27,2/18/2023,Tennessee,W,66,54
28,2/22/2023,Florida,W,82,74
29,2/25/2023,Auburn,W,86,54
30,3/1/2023,Vanderbilt,L,66,68
31,3/4/2023,Arkansas,W,88,79
32,3/10/2023,Vanderbilt,L,73,80
33,3/17/2023,Providence,W,61,53
34,3/19/2023,Kansas State,L,69,75
