G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Alabama,L,54,75
2,11/11/2022,George Mason,L,69,83
3,11/13/2022,Pfeiffer,W,100,68
4,11/18/2022,VMI,W,90,58
5,11/19/2022,FDU,W,99,83
6,11/20/2022,SIU-Edwardsville,L,56,61
7,11/25/2022,Mary Baldwin,W,112,60
8,11/28/2022,San Diego,L,68,71
9,12/3/2022,Delaware State,W,75,49
10,12/10/2022,Wichita State,L,63,81
11,12/13/2022,St. Francis (NY),W,63,57
12,12/17/2022,The Citadel,W,75,70
13,12/20/2022,South Carolina State,W,104,77
14,12/29/2022,High Point,W,87,73
15,12/31/2022,Campbell,W,67,42
16,1/4/2023,Charleston Southern,W,79,74
17,1/7/2023,Winthrop,W,85,71
18,1/12/2023,UNC Asheville,L,46,54
19,1/14/2023,USC Upstate,W,72,65
20,1/18/2023,Gardner-Webb,W,64,59
21,1/21/2023,Presbyterian,W,58,56
22,1/26/2023,Radford,L,59,63
23,1/28/2023,Charleston Southern,L,63,75
24,2/1/2023,Winthrop,L,74,76
25,2/4/2023,Campbell,W,74,50
26,2/8/2023,Presbyterian,W,66,46
27,2/11/2023,High Point,W,70,67
28,2/15/2023,USC Upstate,L,67,72
29,2/18/2023,Radford,W,73,63
30,2/23/2023,Gardner-Webb,W,75,63
31,2/25/2023,UNC Asheville,L,66,76
32,3/3/2023,Campbell,L,68,81
